x,y,label,PANEL,group
0.30395146512305,0.598700765746487,1,1,1
0.530771878411336,0.463113277534859,2,1,1
0.342407126516613,0.430005867048191,3,1,1
0.682539584140551,0.319498815651215,4,1,1
0.0454545454545455,0.333867816624039,5,1,1
0.473034477291609,0.358079090222399,6,1,1
0.327318637360544,0.491099413846113,7,1,1
0.67544242863737,0.458514444383355,8,1,1
0.501581657846531,0.384132576653671,9,1,1
0.372922608683667,0.473626164665391,10,1,1
0.108161080266528,0.511522696221478,11,1,1
0.860010615165109,0.350852186801335,12,1,1
0.298217862096972,0.70946468969916,13,1,1
0.3965811346589,0.244216342483504,14,1,1
0.463530047982701,0.287870105756597,15,1,1
0.954545454545454,0.445470331885111,16,1,1
0.8356399706335,0.316381896610479,17,1,1
0.455512368756808,0.190236515074392,18,1,1
0.340682404936008,0.268291802877103,19,1,1
0.616462890451842,0.368665664405693,20,1,1
0.269534896402946,0.397322729407139,21,1,1
0.489786771520373,0.554720080460366,22,1,1
0.634071246882139,0.475041920602953,23,1,1
0.450847084342373,0.572574703041083,24,1,1
0.558598071376263,0.352366491069055,25,1,1
0.782582998993879,0.0454545454545454,26,1,1
0.523365675715623,0.954545454545454,27,1,1
0.403473615341084,0.316442536255074,28,1,1
0.597092547355136,0.590473238927728,29,1,1
0.610479495064516,0.179341305559209,30,1,1
