colour	x	y	clickSelects	fill
#F8766D	0.399387778460302	0.448235008103604	Female.No	#F8766D
#7CAE00	0.701108260842209	0.128978216766634	Male.No	#7CAE00
#7CAE00	0.862231513400647	0.108665260824967	Male.No	#7CAE00
#7CAE00	0.704628494398838	0.251586727289991	Male.No	#7CAE00
#F8766D	0.336027880876579	0.227920063601976	Female.No	#F8766D
#7CAE00	0.769973497499119	0.218520320020616	Male.No	#7CAE00
#7CAE00	0.834558110514825	0.315502993931824	Male.No	#7CAE00
#7CAE00	0.578092454509302	0.303355486132205	Male.No	#7CAE00
#7CAE00	0.882778361524371	0.291649212383411	Male.No	#7CAE00
#7CAE00	0.603932326151566	0.396859836595302	Male.No	#7CAE00
#7CAE00	0.573215633461421	0.256868448531763	Male.No	#7CAE00
#F8766D	0.223626522093334	0.29795643357052	Female.No	#F8766D
#7CAE00	0.614039930599657	0.14091039753773	Male.No	#7CAE00
#7CAE00	0.823283070105721	0.411705894734372	Male.No	#7CAE00
#F8766D	0.39265764487738	0.29384278125045	Female.No	#F8766D
#7CAE00	0.626852800053629	0.202003696679392	Male.No	#7CAE00
#F8766D	0.0937816366891969	0.288305767473172	Female.No	#F8766D
#7CAE00	0.717382000335915	0.428400560028174	Male.No	#7CAE00
#F8766D	0.435328666967425	0.196303389543159	Female.No	#F8766D
#7CAE00	0.725885753943161	0.353103222833438	Male.No	#7CAE00
#7CAE00	0.688244408419864	0.41718137238852	Male.No	#7CAE00
#F8766D	0.352461453781209	0.250474537468769	Female.No	#F8766D
#F8766D	0.213828913952139	0.249980166723782	Female.No	#F8766D
#7CAE00	0.878349918872118	0.406703563153066	Male.No	#7CAE00
#7CAE00	0.888788533905013	0.130367069928483	Male.No	#7CAE00
#7CAE00	0.684949379498986	0.399270083331926	Male.No	#7CAE00
#7CAE00	0.576687570407309	0.328433391807431	Male.No	#7CAE00
#7CAE00	0.651926808482544	0.102690125307576	Male.No	#7CAE00
#7CAE00	0.738481632179835	0.109585642645305	Male.No	#7CAE00
#F8766D	0.119209188459949	0.242216177962043	Female.No	#F8766D
#7CAE00	0.635956420901824	0.23555643924258	Male.No	#7CAE00
#7CAE00	0.7913448959589	0.215401317416267	Male.No	#7CAE00
#F8766D	0.149494641375813	0.112309571694244	Female.No	#F8766D
#F8766D	0.0982588850469752	0.418652334504507	Female.No	#F8766D
#7CAE00	0.666110680353912	0.378577844493768	Male.No	#7CAE00
#7CAE00	0.858861871063709	0.176293092779815	Male.No	#7CAE00
#7CAE00	0.605543321252546	0.262599468485198	Male.No	#7CAE00
#F8766D	0.190303506075659	0.224415713582527	Female.No	#F8766D
#7CAE00	0.764763602309606	0.136834064837206	Male.No	#7CAE00
#7CAE00	0.794951111924919	0.0985698700797829	Male.No	#7CAE00
#7CAE00	0.577744641595266	0.283390245739032	Male.No	#7CAE00
#7CAE00	0.737906467338855	0.272448527457362	Male.No	#7CAE00
#7CAE00	0.71794251953675	0.425086771053347	Male.No	#7CAE00
#7CAE00	0.876345762051642	0.240861589935693	Male.No	#7CAE00
#7CAE00	0.791898385706273	0.247357106767595	Male.No	#7CAE00
#7CAE00	0.553616332313554	0.316975875164975	Male.No	#7CAE00
#7CAE00	0.61844629641961	0.434037062254819	Male.No	#7CAE00
#7CAE00	0.560595199465752	0.127937095917084	Male.No	#7CAE00
#7CAE00	0.878447402353314	0.171125416728583	Male.No	#7CAE00
#7CAE00	0.866130253469402	0.200565676712854	Male.No	#7CAE00
#7CAE00	0.575116426091303	0.182135454040359	Male.No	#7CAE00
#F8766D	0.193066819909621	0.250287122177807	Female.No	#F8766D
