alpha	colour	fill	x	y
0.1	#F8766D	#F8766D	0.583971018200663	0.491199826599711
0.1	#F8766D	#F8766D	0.627113450228487	0.577499110120862
0.1	#F8766D	#F8766D	0.806466918014988	0.563470896909147
0.1	#F8766D	#F8766D	0.556732022020797	0.585635634264965
0.1	#F8766D	#F8766D	0.53778641304856	0.492863184578214
0.1	#F8766D	#F8766D	0.66932870695619	0.537924893068819
0.1	#F8766D	#F8766D	0.587448853625725	0.657523570211871
0.1	#F8766D	#F8766D	0.59274195905271	0.538430161103296
0.1	#F8766D	#F8766D	0.704091494019161	0.588055540801188
0.1	#F8766D	#F8766D	0.595661540952274	0.524190214004565
0.1	#F8766D	#F8766D	0.764314851133488	0.533361471148601
0.1	#F8766D	#F8766D	0.558455793138826	0.539521549857331
0.1	#F8766D	#F8766D	0.66493097774502	0.555215723386371
0.1	#F8766D	#F8766D	0.595573605106047	0.531961257945351
0.1	#F8766D	#F8766D	0.565570680624529	0.497598095426855
0.1	#F8766D	#F8766D	0.533021403874012	0.673387055574427
0.1	#F8766D	#F8766D	0.611040068305487	0.65901594760979
0.1	#F8766D	#F8766D	0.694644163156284	0.493055782075638
0.1	#F8766D	#F8766D	0.627464975385493	0.550872658450114
0.1	#F8766D	#F8766D	0.546593127909096	0.592630576196246
0.1	#F8766D	#F8766D	0.825583859098747	0.645510466397841
0.1	#F8766D	#F8766D	0.575690626860396	0.554038091139941
0.1	#F8766D	#F8766D	0.742019025327106	0.59417469824648
0.1	#F8766D	#F8766D	0.615253762527336	0.627707699220796
0.1	#F8766D	#F8766D	0.605226217333854	0.541224524632322
0.1	#F8766D	#F8766D	0.606935973548323	0.620910613385737
0.1	#F8766D	#F8766D	0.667593143161276	0.541498916486077
0.1	#F8766D	#F8766D	0.65101668893381	0.662154563276213
0.1	#F8766D	#F8766D	0.535643445376252	0.655128901472756
0.1	#F8766D	#F8766D	0.531813071663028	0.560125204504699
0.1	#F8766D	#F8766D	0.695752631521362	0.502872287618347
0.1	#F8766D	#F8766D	0.611809945929471	0.74084568675756
0.1	#F8766D	#F8766D	0.606464048768653	0.527606338270043
0.1	#F8766D	#F8766D	0.714944973485163	0.559128557492429
0.1	#F8766D	#F8766D	0.645932299599357	0.599372305965987
0.1	#F8766D	#F8766D	0.566473206505747	0.575577051411196
0.1	#F8766D	#F8766D	0.655721261662294	0.496558483478609
0.1	#F8766D	#F8766D	0.659690683211375	0.525009667598686
0.1	#F8766D	#F8766D	0.59999803707594	0.543419294647534
0.1	#F8766D	#F8766D	0.655933667094157	0.661160136030485
0.1	#F8766D	#F8766D	0.533687828423067	0.56532785872243
0.1	#F8766D	#F8766D	0.589163507387306	0.590202606395379
0.1	#F8766D	#F8766D	0.632943993283156	0.523555002004874
0.1	#F8766D	#F8766D	0.722738267046101	0.617329800574168
0.1	#F8766D	#F8766D	0.53059200680764	0.496822947011896
0.1	#F8766D	#F8766D	0.5751394286007	0.501724623799524
0.1	#F8766D	#F8766D	0.535088541808838	0.570188462092834
0.1	#F8766D	#F8766D	0.521725792719221	0.647643232211166
0.1	#F8766D	#F8766D	0.633546339260589	0.612954526573676
0.1	#F8766D	#F8766D	0.709671016794402	0.506310806044828
0.1	#F8766D	#F8766D	0.780929581712498	0.533444049543971
0.1	#F8766D	#F8766D	0.542317654111887	0.640109897957688
0.1	#F8766D	#F8766D	0.54791830042478	0.526714985358897
0.1	#F8766D	#F8766D	0.547211669463222	0.522495828056015
0.1	#F8766D	#F8766D	0.587638915814105	0.503994008928396
0.1	#F8766D	#F8766D	0.709754581526856	0.627002643278403
