colour	fill	size	x	y
#F8766D	#F8766D	2.2	0.48032964955182	0.595241525479899
#F8766D	#F8766D	1.56	0.523067233085946	0.501840485859914
#F8766D	#F8766D	2.51	0.538788299493748	0.610389967366066
#F8766D	#F8766D	2.05	0.580516200818571	0.470638993779339
#F8766D	#F8766D	3.61	0.732475792133154	0.489201955788331
#F8766D	#F8766D	3.12	0.53647980647475	0.675437105071275
#F8766D	#F8766D	4.49	0.795726528838903	0.599459588833308
#F8766D	#F8766D	2.6	0.633810176502867	0.486899981741553
#F8766D	#F8766D	3.22	0.663724728622361	0.585848948012142
#F8766D	#F8766D	2.9	0.510641724539586	0.66049547574746
#F8766D	#F8766D	4.88	0.820520767486054	0.638057875152648
#F8766D	#F8766D	1.77	0.545345002816866	0.504508132198994
#F8766D	#F8766D	1.37	0.474825730907759	0.51427556983573
#F8766D	#F8766D	1.85	0.547234771831625	0.5167284588664
#F8766D	#F8766D	1.73	0.548948429743513	0.473659985679628
#F8766D	#F8766D	1.76	0.549431539415161	0.489840768303261
#F8766D	#F8766D	3.15	0.686030828361473	0.501997293402798
#F8766D	#F8766D	2.72	0.615071429572628	0.569817202300841
#F8766D	#F8766D	3.02	0.674029343745962	0.495675625377428
#F8766D	#F8766D	1.54	0.526969398806392	0.489510370919679
#F8766D	#F8766D	4.19	0.788356230138696	0.510333122082671
#F8766D	#F8766D	4.49	0.748869434063818	0.681029155685616
#F8766D	#F8766D	2.53	0.618836750261969	0.52209417837725
#F8766D	#F8766D	1.88	0.548220424704331	0.52131165194656
#F8766D	#F8766D	2.43	0.603910064606626	0.531283280261055
#F8766D	#F8766D	2.31	0.605258664431762	0.470565969077108
#F8766D	#F8766D	2.06	0.560339076064863	0.534689497414688
#F8766D	#F8766D	3.48	0.591389234086498	0.689417940315942
#F8766D	#F8766D	3.78	0.750398674228018	0.47583485813708
#F8766D	#F8766D	3.35	0.683799299750791	0.575033263849051
#F8766D	#F8766D	4.74	0.833691347315865	0.561212999502791
#F8766D	#F8766D	2.49	0.613408626818802	0.52354643413802
#F8766D	#F8766D	3.67	0.487992575347812	0.740225020759793
#F8766D	#F8766D	1.76	0.534481308097161	0.520314370469925
#F8766D	#F8766D	2.68	0.542038532944374	0.626949868194372
#F8766D	#F8766D	1.53	0.487550868510993	0.527130018630375
#F8766D	#F8766D	1.03	0.471006791671535	0.480528185789434
#F8766D	#F8766D	1.85	0.540054540307452	0.527132334785857
#F8766D	#F8766D	2.89	0.596512069771354	0.615863600922645
#F8766D	#F8766D	2.77	0.622542109732639	0.5667887914989
#F8766D	#F8766D	2.1	0.541949413827969	0.560115546906792
#F8766D	#F8766D	3.33	0.698163249506766	0.530621756987235
#F8766D	#F8766D	4.1	0.756376744567817	0.593300632253527
#F8766D	#F8766D	2.27	0.562743985471086	0.563544847469859
#F8766D	#F8766D	2.55	0.476426203512297	0.630089344654857
#F8766D	#F8766D	1.39	0.507675470945043	0.494881963153459
#F8766D	#F8766D	2.53	0.594262712009987	0.567173207997859
#F8766D	#F8766D	1.46	0.483066521434372	0.520986379121649
#F8766D	#F8766D	2.06	0.471378952167781	0.58194312317476
#F8766D	#F8766D	2.7	0.525526534549252	0.63532001706483
#F8766D	#F8766D	2.3	0.587513719149602	0.536074363709731
#F8766D	#F8766D	3.51	0.611181930336433	0.681580198339652
#F8766D	#F8766D	2.19	0.484591314129211	0.593976867701579
#F8766D	#F8766D	3.18	0.600219344689042	0.649779896008964
#F8766D	#F8766D	1.7	0.509330867081948	0.535657303595213
#F8766D	#F8766D	4.37	0.521607688693775	0.805325610748691
#F8766D	#F8766D	1.82	0.543737165491311	0.517551540692697
#F8766D	#F8766D	3.05	0.607762814601762	0.626416198530642
#F8766D	#F8766D	2.64	0.520894068706724	0.631420585272488
#F8766D	#F8766D	3.4	0.497083024550108	0.712267971730366
#F8766D	#F8766D	2.2	0.504827852524792	0.590193011260999
#F8766D	#F8766D	1.55	0.494767981029072	0.526307881395651
#F8766D	#F8766D	1.4	0.484454577468432	0.51431694866253
#F8766D	#F8766D	3.69	0.741655535757409	0.482259260074203
#F8766D	#F8766D	3.71	0.742858627593075	0.486405907801038
#F8766D	#F8766D	1.33	0.49954029807208	0.495379139490655
