colour	fill	x	y	clickSelects
#00BFC4	#00BFC4	0.362040959923358	0.350973272047451	Q3
#00BFC4	#00BFC4	0.0681705922154736	0.189374756749733	Q3
#00BFC4	#00BFC4	0.224027508852681	0.385302687485035	Q3
#00BFC4	#00BFC4	0.264415951149084	0.416273705663964	Q3
#00BFC4	#00BFC4	0.311917690324463	0.431469056274711	Q3
#00BFC4	#00BFC4	0.362477045318325	0.46286787919144	Q3
#00BFC4	#00BFC4	0.452869987063632	0.452657214055946	Q3
#00BFC4	#00BFC4	0.449305566113954	0.483656739095369	Q3
#00BFC4	#00BFC4	0.393483864502215	0.475169317560899	Q3
#00BFC4	#00BFC4	0.307339822597252	0.454479622949255	Q3
#00BFC4	#00BFC4	0.435163909329265	0.368541232994048	Q3
#00BFC4	#00BFC4	0.361797114322237	0.369549463121577	Q3
#00BFC4	#00BFC4	0.341780656467717	0.438342639805677	Q3
#00BFC4	#00BFC4	0.30716306601033	0.317872894967145	Q3
#00BFC4	#00BFC4	0.330560820275018	0.424551565678164	Q3
#00BFC4	#00BFC4	0.415443744258212	0.239136522417221	Q3
#00BFC4	#00BFC4	0.177360515630237	0.378863075709631	Q3
#00BFC4	#00BFC4	0.267800916032506	0.276986951901963	Q3
#00BFC4	#00BFC4	0.253816484758977	0.221956572587924	Q3
#00BFC4	#00BFC4	0.395903369768937	0.376982570072221	Q3
#00BFC4	#00BFC4	0.108210941908961	0.318884330460729	Q3
#00BFC4	#00BFC4	0.465929607089891	0.274744019516514	Q3
#00BFC4	#00BFC4	0.431428953958035	0.480222485150356	Q3
#00BFC4	#00BFC4	0.23137840688289	0.395573032827519	Q3
#00BFC4	#00BFC4	0.46034681435885	0.388721850986207	Q3
#00BFC4	#00BFC4	0.447781613823779	0.302017238438312	Q3
#00BFC4	#00BFC4	0.39453641700352	0.413965710791253	Q3
#00BFC4	#00BFC4	0.487568407584227	0.296526199263588	Q3
#00BFC4	#00BFC4	0.400427806435659	0.42264263008107	Q3
#00BFC4	#00BFC4	0.488269038063037	0.328424459694889	Q3
#00BFC4	#00BFC4	0.382202219356283	0.441297685050946	Q3
#00BFC4	#00BFC4	0.439752179496157	0.304766052973621	Q3
