fill	y	count	x	ndensity	ncount	density	group	ymin	ymax	xmin	xmax	colour	size
#132B43	0.0454545454545455	0	0.069377990430622	0	0	0	1	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0933014354066986	#132B43	0
#27547A	0.348484848484848	2	0.117224880382775	0.333333333333333	0.333333333333333	0.04	1	0.0454545454545455	0.348484848484848	0.0933014354066986	0.141148325358852	#27547A	0
#55B1F7	0.954545454545455	6	0.165071770334928	1	1	0.12	1	0.0454545454545455	0.954545454545455	0.141148325358852	0.188995215311005	#55B1F7	0
#3E80B6	0.651515151515151	4	0.212918660287081	0.666666666666667	0.666666666666667	0.08	1	0.0454545454545455	0.651515151515151	0.188995215311005	0.236842105263158	#3E80B6	0
#4998D6	0.803030303030303	5	0.260765550239234	0.833333333333333	0.833333333333333	0.1	1	0.0454545454545455	0.803030303030303	0.236842105263158	0.284688995215311	#4998D6	0
#3E80B6	0.651515151515151	4	0.308612440191388	0.666666666666667	0.666666666666667	0.08	1	0.0454545454545455	0.651515151515151	0.284688995215311	0.332535885167464	#3E80B6	0
#3E80B6	0.651515151515151	4	0.356459330143541	0.666666666666667	0.666666666666667	0.08	1	0.0454545454545455	0.651515151515151	0.332535885167464	0.380382775119617	#3E80B6	0
#55B1F7	0.954545454545455	6	0.404306220095694	1	1	0.12	1	0.0454545454545455	0.954545454545455	0.380382775119617	0.42822966507177	#55B1F7	0
#326A97	0.5	3	0.452153110047847	0.5	0.5	0.06	1	0.0454545454545455	0.5	0.42822966507177	0.476076555023923	#326A97	0
#3E80B6	0.651515151515151	4	0.5	0.666666666666667	0.666666666666667	0.08	1	0.0454545454545455	0.651515151515151	0.476076555023923	0.523923444976077	#3E80B6	0
#1D3E5D	0.196969696969697	1	0.547846889952153	0.166666666666667	0.166666666666667	0.02	1	0.0454545454545455	0.196969696969697	0.523923444976077	0.57177033492823	#1D3E5D	0
#4998D6	0.803030303030303	5	0.595693779904306	0.833333333333333	0.833333333333333	0.1	1	0.0454545454545455	0.803030303030303	0.57177033492823	0.619617224880383	#4998D6	0
#326A97	0.5	3	0.643540669856459	0.5	0.5	0.06	1	0.0454545454545455	0.5	0.619617224880383	0.667464114832536	#326A97	0
#132B43	0.0454545454545455	0	0.691387559808612	0	0	0	1	0.0454545454545455	0.0454545454545455	0.667464114832536	0.715311004784689	#132B43	0
#132B43	0.0454545454545455	0	0.739234449760766	0	0	0	1	0.0454545454545455	0.0454545454545455	0.715311004784689	0.763157894736842	#132B43	0
#1D3E5D	0.196969696969697	1	0.787081339712919	0.166666666666667	0.166666666666667	0.02	1	0.0454545454545455	0.196969696969697	0.763157894736842	0.811004784688995	#1D3E5D	0
#1D3E5D	0.196969696969697	1	0.834928229665072	0.166666666666667	0.166666666666667	0.02	1	0.0454545454545455	0.196969696969697	0.811004784688995	0.858851674641148	#1D3E5D	0
#1D3E5D	0.196969696969697	1	0.882775119617225	0.166666666666667	0.166666666666667	0.02	1	0.0454545454545455	0.196969696969697	0.858851674641148	0.906698564593301	#1D3E5D	0
#132B43	0.0454545454545455	0	0.930622009569378	0	0	0	1	0.0454545454545455	0.0454545454545455	0.906698564593301	0.954545454545455	#132B43	0
