alpha	linetype	x	y	group
0.376	solid	0.0454545454545455	0.236616880868505	1
0.376	solid	0.146464646464646	0.29375415907118	1
0.376	solid	0.247474747474748	0.343813618286241	1
0.376	solid	0.348484848484849	0.39821550017713	1
0.376	solid	0.44949494949495	0.478124343648782	1
0.376	solid	0.550505050505051	0.519678024303457	1
0.376	solid	0.651515151515152	0.569341897523082	1
0.376	solid	0.752525252525253	0.628321351647288	1
0.376	solid	0.853535353535354	0.677823408456321	1
0.376	solid	0.954545454545455	0.754265901293011	1
0.3544	solid	0.0454545454545455	0.199312783739874	2
0.3544	solid	0.146464646464646	0.281763143558688	2
0.3544	solid	0.247474747474748	0.292317231097209	2
0.3544	solid	0.348484848484849	0.376678516314213	2
0.3544	solid	0.44949494949495	0.423873968613778	2
0.3544	solid	0.550505050505051	0.48279252608278	2
0.3544	solid	0.651515151515152	0.522061605977669	2
0.3544	solid	0.752525252525253	0.575998157091857	2
0.3544	solid	0.853535353535354	0.645378880475441	2
0.3544	solid	0.954545454545455	0.720375277320898	2
0.3584	solid	0.0454545454545455	0.180917527971985	3
0.3584	solid	0.146464646464646	0.269154144852765	3
0.3584	solid	0.247474747474748	0.31737224769279	3
0.3584	solid	0.348484848484849	0.369062916889319	3
0.3584	solid	0.44949494949495	0.432924526110825	3
0.3584	solid	0.550505050505051	0.503196474326951	3
0.3584	solid	0.651515151515152	0.548309659710368	3
0.3584	solid	0.752525252525253	0.625087690479267	3
0.3584	solid	0.853535353535354	0.654083343369866	3
0.3584	solid	0.954545454545455	0.726958208090792	3
0.4264	solid	0.0454545454545455	0.217474132972726	4
0.4264	solid	0.146464646464646	0.267619469704512	4
0.4264	solid	0.247474747474748	0.338989721401394	4
0.4264	solid	0.348484848484849	0.404871235886526	4
0.4264	solid	0.44949494949495	0.463560645309078	4
0.4264	solid	0.550505050505051	0.530062470545426	4
0.4264	solid	0.651515151515152	0.607671320269165	4
0.4264	solid	0.752525252525253	0.692832719458828	4
0.4264	solid	0.853535353535354	0.746145133414346	4
0.4264	solid	0.954545454545455	0.836268452262488	4
0.3776	solid	0.0454545454545455	0.2458750617931	5
0.3776	solid	0.146464646464646	0.292300424221814	5
0.3776	solid	0.247474747474748	0.364164959423045	5
0.3776	solid	0.348484848484849	0.404396597094288	5
0.3776	solid	0.44949494949495	0.469295378336998	5
0.3776	solid	0.550505050505051	0.544832489623695	5
0.3776	solid	0.651515151515152	0.62441166755812	5
0.3776	solid	0.752525252525253	0.644375721253394	5
0.3776	solid	0.853535353535354	0.728302852416843	5
0.3776	solid	0.954545454545455	0.757770905554502	5
0.336	solid	0.0454545454545455	0.239996138137184	6
0.336	solid	0.146464646464646	0.278410812963868	6
0.336	solid	0.247474747474748	0.346674671194821	6
0.336	solid	0.348484848484849	0.36464793773647	6
0.336	solid	0.44949494949495	0.455010382685232	6
0.336	solid	0.550505050505051	0.489595505178534	6
0.336	solid	0.651515151515152	0.540972805999195	6
0.336	solid	0.752525252525253	0.548182241942999	6
0.336	solid	0.853535353535354	0.621035006324276	6
0.336	solid	0.954545454545455	0.690193816148751	6
0.1	solid	0.0454545454545455	0.148922007592127	7
