size	x	y	group
3	0.0454545454545455	0.222175382903557	1
3	0.146464646464646	0.283425015438538	1
3	0.247474747474748	0.33708741550853	1
3	0.348484848484849	0.395404776430219	1
3	0.44949494949495	0.481064917285596	1
3	0.550505050505051	0.525609350458397	1
3	0.651515151515152	0.578847692932042	1
3	0.752525252525253	0.642072088735555	1
3	0.853535353535354	0.695136968349248	1
3	0.954545454545455	0.777081274126242	1
3	0.0454545454545455	0.228001102254153	2
3	0.146464646464646	0.303901720705903	2
3	0.247474747474748	0.366170516748895	2
3	0.348484848484849	0.447806897944201	2
3	0.44949494949495	0.516398614819744	2
3	0.550505050505051	0.559380476827228	2
3	0.651515151515152	0.674261634357222	2
3	0.752525252525253	0.723215839959438	2
3	0.853535353535354	0.757160059228613	2
3	0.954545454545455	0.85531138958319	2
2.332	0.0454545454545455	0.182082878345976	3
2.332	0.146464646464646	0.285252185566939	3
2.332	0.247474747474748	0.318001100305352	3
2.332	0.348484848484849	0.375524238707862	3
2.332	0.44949494949495	0.426169903725022	3
2.332	0.550505050505051	0.501680709658234	3
2.332	0.651515151515152	0.587259075771481	3
2.332	0.752525252525253	0.618342333485329	3
2.332	0.853535353535354	0.678568408911238	3
2.332	0.954545454545455	0.714658427017162	3
2.332	0.0454545454545455	0.137168658898351	4
2.332	0.146464646464646	0.17535479940231	4
2.332	0.247474747474748	0.203273798793884	4
2.332	0.348484848484849	0.297392097163	4
2.332	0.44949494949495	0.316442535414453	4
2.332	0.550505050505051	0.368414252131282	4
2.332	0.651515151515152	0.456499709816803	4
2.332	0.752525252525253	0.506258390570228	4
2.332	0.853535353535354	0.54154147213067	4
2.332	0.954545454545455	0.585385326499868	4
1	0.0454545454545455	0.0454545454545455	5
1	0.146464646464646	0.0887748011985652	5
1	0.247474747474748	0.0853970785770376	5
1	0.348484848484849	0.128645082106908	5
1	0.44949494949495	0.174932087989359	5
1	0.550505050505051	0.18162014326886	5
1	0.651515151515152	0.233608491421749	5
1	0.752525252525253	0.224501412469237	5
1	0.853535353535354	0.27548886590179	5
1	0.954545454545455	0.323259206096073	5
2.332	0.0454545454545455	0.143468137460255	6
2.332	0.146464646464646	0.230754810113537	6
2.332	0.247474747474748	0.317776696413255	6
2.332	0.348484848484849	0.395516951775544	6
2.332	0.44949494949495	0.464000248282834	6
2.332	0.550505050505051	0.519059786604261	6
2.332	0.651515151515152	0.60995886946795	6
2.332	0.752525252525253	0.655527381703799	6
2.332	0.853535353535354	0.730733745021926	6
2.332	0.954545454545455	0.823140211924858	6
3	0.0454545454545455	0.216635640469908	7
3	0.146464646464646	0.260189210026366	7
3	0.247474747474748	0.294996658374489	7
3	0.348484848484849	0.359309407598509	7
3	0.44949494949495	0.401235662349035	7
3	0.550505050505051	0.435594219800909	7
3	0.651515151515152	0.516498126095348	7
3	0.752525252525253	0.541810969708035	7
3	0.853535353535354	0.584836650956991	7
3	0.954545454545455	0.616608623734845	7
3	0.0454545454545455	0.226848621016693	8
3	0.146464646464646	0.298622358239107	8
3	0.247474747474748	0.357726811616206	8
3	0.348484848484849	0.44997232048983	8
3	0.44949494949495	0.554515029752457	8
3	0.550505050505051	0.636173779568181	8
3	0.651515151515152	0.721990460597573	8
3	0.752525252525253	0.787907712596358	8
3	0.853535353535354	0.871540711855014	8
3	0.954545454545455	0.954545454545455	8
3	0.0454545454545455	0.212538134124967	9
3	0.146464646464646	0.294261109160106	9
3	0.247474747474748	0.344586548923349	9
3	0.348484848484849	0.454684237798166	9
3	0.44949494949495	0.535830901037884	9
3	0.550505050505051	0.610613395419115	9
3	0.651515151515152	0.684825508869916	9
3	0.752525252525253	0.772358154189933	9
3	0.853535353535354	0.841339304441905	9
3	0.954545454545455	0.910968802833788	9
2.332	0.0454545454545455	0.126274687298047	10
2.332	0.146464646464646	0.141751533903869	10
2.332	0.247474747474748	0.180447632820322	10
2.332	0.348484848484849	0.177354423659718	10
2.332	0.44949494949495	0.241241687859781	10
2.332	0.550505050505051	0.245029521522907	10
2.332	0.651515151515152	0.298873155682078	10
2.332	0.752525252525253	0.307390701915839	10
2.332	0.853535353535354	0.326910663022791	10
2.332	0.954545454545455	0.394893358647387	10
