time,y,x,lat,long,date,cloudhigh,cloudlow,cloudmid,ozone,pressure,surftemp,temperature,id
1,1,1,-21.2,-113.8,1995-01-01,0.5,31,2,260,1000,297.4,296.9,1-1
1,1,2,-21.2,-111.295652173913,1995-01-01,1.5,31.5,2.5,260,1000,297.4,296.5,2-1
1,1,3,-21.2,-108.791304347826,1995-01-01,1.5,32.5,3.5,260,1000,297.4,296,3-1
1,1,4,-21.2,-106.286956521739,1995-01-01,1,39,4,258,1000,296.9,296.5,4-1
1,1,5,-21.2,-103.782608695652,1995-01-01,0.5,48,4.5,258,1000,296.5,295.5,5-1
1,1,6,-21.2,-101.278260869565,1995-01-01,0,50,2.5,258,1000,296.5,295,6-1
1,1,7,-21.2,-98.7739130434783,1995-01-01,0,51,4.5,256,1000,295.5,295.5,7-1
1,1,8,-21.2,-96.2695652173913,1995-01-01,0,52.5,5,258,1000,295.5,295,8-1
1,1,9,-21.2,-93.7652173913043,1995-01-01,0.5,54,8.5,256,1000,295,295,9-1
1,1,10,-21.2,-91.2608695652174,1995-01-01,1,56,11.5,258,1000,294.6,294.6,10-1
1,1,11,-21.2,-88.7565217391304,1995-01-01,1,56,11.5,258,1000,294.6,294.6,11-1
1,1,12,-21.2,-86.2521739130435,1995-01-01,1,60.5,12.5,254,1000,294.1,294.6,12-1
1,1,13,-21.2,-83.7478260869565,1995-01-01,1.5,57,19.5,254,1000,293.2,294.6,13-1
1,1,14,-21.2,-81.2434782608696,1995-01-01,2.5,57,20,252,1000,293.2,294.6,14-1
1,1,15,-21.2,-78.7391304347826,1995-01-01,1.5,53.5,22,254,1000,293.2,294.6,15-1
1,1,16,-21.2,-76.2347826086957,1995-01-01,1,51.5,24.5,254,995,293.6,295.5,16-1
1,1,17,-21.2,-73.7304347826087,1995-01-01,1,52,16.5,256,1000,295,296,17-1
1,1,18,-21.2,-71.2260869565217,1995-01-01,1.5,37.5,8,256,995,296.9,296.9,18-1
1,1,19,-21.2,-68.7217391304348,1995-01-01,14,12.5,22.5,258,690,294.6,288.3,19-1
1,1,20,-21.2,-66.2173913043478,1995-01-01,29.5,7,30,256,680,292.7,288.8,20-1
