colour,fill,x,y,PANEL,group
#00BFC4,#00BFC4,0.456493966990993,0.458246213326434,1,3
#F8766D,#F8766D,0.688975614806016,0.702371575293063,1,5
#00BFC4,#00BFC4,0.448536836941327,0.474448875850406,1,3
#00BFC4,#00BFC4,0.384694894332261,0.456946274006779,1,3
#C77CFF,#C77CFF,0.403276176857097,0.290831358990895,1,4
#7CAE00,#7CAE00,0.4309650766885,0.476720023037827,1,2
#7CAE00,#7CAE00,0.53101320493789,0.464608839175489,1,6
#F8766D,#F8766D,0.775642123561175,0.671890932766769,1,7
#00BFC4,#00BFC4,0.460201137965279,0.448148234582356,1,3
#7CAE00,#7CAE00,0.689111990588052,0.503943278629292,1,6
#C77CFF,#C77CFF,0.429483522173195,0.307814716541247,1,4
#00BFC4,#00BFC4,0.325740626480963,0.388677682329415,1,3
#C77CFF,#C77CFF,0.231976658549337,0.166819048377071,1,1
#C77CFF,#C77CFF,0.0527809952784862,0.0454545454545455,1,1
#C77CFF,#C77CFF,0.43508340240944,0.300151164985916,1,4
#F8766D,#F8766D,0.863822077445331,0.738995930321781,1,7
#00BFC4,#00BFC4,0.333960521167943,0.419803587897079,1,3
#7CAE00,#7CAE00,0.616726625444634,0.464136350891965,1,6
#C77CFF,#C77CFF,0.410654432628126,0.235737520509082,1,4
#7CAE00,#7CAE00,0.648251095564947,0.559909674796242,1,6
#7CAE00,#7CAE00,0.634336465792287,0.455794159193261,1,6
#7CAE00,#7CAE00,0.692238716231216,0.487863054934362,1,6
#00BFC4,#00BFC4,0.415648893275786,0.442291340956901,1,3
#F8766D,#F8766D,0.682677801121913,0.717480552965116,1,5
#00BFC4,#00BFC4,0.470001395348282,0.370293249141009,1,3
#7CAE00,#7CAE00,0.597546528980491,0.511097230543224,1,6
#7CAE00,#7CAE00,0.529775247243898,0.569041441129046,1,6
#F8766D,#F8766D,0.934749931008333,0.820700242014982,1,7
#7CAE00,#7CAE00,0.552022143355793,0.50687216531264,1,6
#F8766D,#F8766D,0.602617892924519,0.681543604135217,1,5
#00BFC4,#00BFC4,0.341812192373687,0.456639294476405,1,3
#00BFC4,#00BFC4,0.29278293362863,0.429955562795861,1,3
#C77CFF,#C77CFF,0.218098588509574,0.172801508271175,1,1
#C77CFF,#C77CFF,0.0628470478668099,0.192504823217972,1,1
#F8766D,#F8766D,0.799907467416709,0.664037304283756,1,7
#C77CFF,#C77CFF,0.407275897229002,0.313941178432031,1,4
#7CAE00,#7CAE00,0.625242357896198,0.536976453410708,1,6
#7CAE00,#7CAE00,0.594712683265763,0.547868090133211,1,6
#F8766D,#F8766D,0.694463733849781,0.548050245397878,1,5
#F8766D,#F8766D,0.559573360363997,0.62957240616312,1,5
#7CAE00,#7CAE00,0.339103538764729,0.509942112559894,1,2
#C77CFF,#C77CFF,0.13653938436792,0.141079135278746,1,1
#C77CFF,#C77CFF,0.152310233208395,0.213118035279289,1,1
#C77CFF,#C77CFF,0.392989747581028,0.3139834508393,1,4
#C77CFF,#C77CFF,0.0678713503958923,0.210370936486173,1,1
#00BFC4,#00BFC4,0.339620688486667,0.494391173880539,1,3
#00BFC4,#00BFC4,0.468989550357773,0.522722333745317,1,3
#F8766D,#F8766D,0.70582795293913,0.6175471226236,1,5
#00BFC4,#00BFC4,0.334100517000826,0.398206868654102,1,3
#C77CFF,#C77CFF,0.405389475591836,0.266474090491499,1,4
#7CAE00,#7CAE00,0.563095615112356,0.427101531830917,1,6
#F8766D,#F8766D,0.789083265211611,0.934528430854503,1,7
#C77CFF,#C77CFF,0.339572282153226,0.386119933064042,1,4
#F8766D,#F8766D,0.673838512262418,0.722943154186656,1,5
#7CAE00,#7CAE00,0.611382192266839,0.524660667112993,1,6
#00BFC4,#00BFC4,0.472876819382821,0.424691192818228,1,3
#F8766D,#F8766D,0.662976649545488,0.668562754018394,1,5
#C77CFF,#C77CFF,0.176945348979817,0.078713326184542,1,1
#F8766D,#F8766D,0.589666861419876,0.595454648342942,1,5
#00BFC4,#00BFC4,0.469501546495372,0.421932836987996,1,3
#F8766D,#F8766D,0.587075512989291,0.648825085636325,1,5
#F8766D,#F8766D,0.660234384061325,0.657858689747736,1,5
#00BFC4,#00BFC4,0.396601962369113,0.331701717283704,1,3
#7CAE00,#7CAE00,0.552122238846052,0.528144596107929,1,6
#C77CFF,#C77CFF,0.392483963941534,0.327635838813753,1,4
#C77CFF,#C77CFF,0.387058599186795,0.221990442679496,1,4
#C77CFF,#C77CFF,0.454804765459682,0.37214223409657,1,4
#C77CFF,#C77CFF,0.11550314498267,0.161611395605114,1,1
#F8766D,#F8766D,0.929041114768812,0.73749684142589,1,7
#7CAE00,#7CAE00,0.538043110232268,0.650181243481165,1,6
#F8766D,#F8766D,0.532932387398822,0.705036469173852,1,5
#7CAE00,#7CAE00,0.661136866990654,0.574173512521569,1,6
#00BFC4,#00BFC4,0.38612458606561,0.38448153941958,1,3
#00BFC4,#00BFC4,0.402958157738405,0.382983233311847,1,3
#C77CFF,#C77CFF,0.420001768551412,0.258188181053857,1,4
#C77CFF,#C77CFF,0.464210956490466,0.386963654031227,1,4
#00BFC4,#00BFC4,0.421022237588962,0.343801973781583,1,3
#C77CFF,#C77CFF,0.431063651107252,0.36546927442113,1,4
#C77CFF,#C77CFF,0.387899963007796,0.326734071836797,1,4
#7CAE00,#7CAE00,0.606635188196032,0.472387935184853,1,6
#7CAE00,#7CAE00,0.609943157594119,0.530471004416751,1,6
#F8766D,#F8766D,0.59964167623825,0.623570543064284,1,5
#00BFC4,#00BFC4,0.329099310562015,0.359597817796917,1,3
#F8766D,#F8766D,0.676247520150528,0.616626409342275,1,5
#00BFC4,#00BFC4,0.377977453881786,0.377419927805351,1,3
#F8766D,#F8766D,0.837175534417232,0.795923011375021,1,7
#7CAE00,#7CAE00,0.699674056177693,0.526106759783557,1,6
#00BFC4,#00BFC4,0.406426549002173,0.461932343987172,1,3
#00BFC4,#00BFC4,0.433428841066502,0.425319229881673,1,3
#C77CFF,#C77CFF,0.416379793103607,0.259620622918956,1,4
#7CAE00,#7CAE00,0.606546268000135,0.537058663682118,1,6
#7CAE00,#7CAE00,0.543391246304271,0.612558774872913,1,6
#F8766D,#F8766D,0.526618918226588,0.62771719434129,1,5
#7CAE00,#7CAE00,0.706055290287449,0.570946403259555,1,6
#F8766D,#F8766D,0.576385626480693,0.627719027835085,1,5
#7CAE00,#7CAE00,0.599094093511147,0.513174992927269,1,6
#00BFC4,#00BFC4,0.338210323869827,0.42592604235924,1,3
#00BFC4,#00BFC4,0.296503986941562,0.319700642321438,1,3
#F8766D,#F8766D,0.936436935727086,0.954545454545455,1,7
#F8766D,#F8766D,0.64015799131067,0.62261034539838,1,5
