fill	x	ymin	ymax	group	colour
#F8766D	0.0454545454545455	0.205683387613913	0.520736032134015	1	#F8766D
#F8766D	0.136363636363636	0.247316068373545	0.482221483904919	1	#F8766D
#F8766D	0.227272727272727	0.265919456372418	0.569643332446052	1	#F8766D
#F8766D	0.318181818181818	0.274822243319254	0.453442826894792	1	#F8766D
#F8766D	0.409090909090909	0.20192821731801	0.517784278745544	1	#F8766D
#F8766D	0.5	0.179640453717488	0.424791715569625	1	#F8766D
#F8766D	0.590909090909091	0.255953186010329	0.637728229241756	1	#F8766D
#F8766D	0.681818181818182	0.276476880754679	0.443896587304133	1	#F8766D
#F8766D	0.772727272727273	0.0454545454545455	0.465841913872798	1	#F8766D
#F8766D	0.863636363636364	0.0709105746234752	0.385901127584355	1	#F8766D
#F8766D	0.954545454545454	0.239115368423054	0.383091475216753	1	#F8766D
#00BFC4	0.0454545454545455	0.522500612917611	0.837553257437713	2	#00BFC4
#00BFC4	0.136363636363636	0.564133293677244	0.799038709208617	2	#00BFC4
#00BFC4	0.227272727272727	0.582736681676116	0.886460557749751	2	#00BFC4
#00BFC4	0.318181818181818	0.591639468622952	0.77026005219849	2	#00BFC4
#00BFC4	0.409090909090909	0.518745442621709	0.834601504049242	2	#00BFC4
#00BFC4	0.5	0.496457679021186	0.741608940873323	2	#00BFC4
#00BFC4	0.590909090909091	0.572770411314028	0.954545454545455	2	#00BFC4
#00BFC4	0.681818181818182	0.593294106058378	0.760713812607832	2	#00BFC4
#00BFC4	0.772727272727273	0.362271770758244	0.782659139176496	2	#00BFC4
#00BFC4	0.863636363636364	0.387727799927174	0.702718352888053	2	#00BFC4
#00BFC4	0.954545454545454	0.555932593726752	0.699908700520452	2	#00BFC4
