x,y,fill,count,density,PANEL,group,xcenter,ycenter,colour,size
0.0606060606060605,0.0543309199140116,#4896D3,25,0.025,1,1,0.255499,530.209618710293,#4896D3,0
0.0606060606060605,0.0365781709950793,#4896D3,25,0.025,1,1,0.255499,530.209618710293,#4896D3,0
0.0454545454545455,0.0277017965356132,#4896D3,25,0.025,1,1,0.255499,530.209618710293,#4896D3,0
0.0303030303030304,0.0365781709950793,#4896D3,25,0.025,1,1,0.255499,530.209618710293,#4896D3,0
0.0303030303030304,0.0543309199140116,#4896D3,25,0.025,1,1,0.255499,530.209618710293,#4896D3,0
0.0454545454545455,0.0632072943734777,#4896D3,25,0.025,1,1,0.255499,530.209618710293,#4896D3,0
0.0606060606060605,0.0543309199140116,#4896D3,25,0.025,1,1,0.255499,530.209618710293,#4896D3,0
0.0909090909090908,0.0543309199140116,#132B43,132,0.132,1,2,0.328499,530.209618710293,#132B43,0
0.0909090909090908,0.0365781709950793,#132B43,132,0.132,1,2,0.328499,530.209618710293,#132B43,0
0.0757575757575758,0.0277017965356132,#132B43,132,0.132,1,2,0.328499,530.209618710293,#132B43,0
0.0606060606060607,0.0365781709950793,#132B43,132,0.132,1,2,0.328499,530.209618710293,#132B43,0
0.0606060606060607,0.0543309199140116,#132B43,132,0.132,1,2,0.328499,530.209618710293,#132B43,0
0.0757575757575758,0.0632072943734777,#132B43,132,0.132,1,2,0.328499,530.209618710293,#132B43,0
0.0909090909090908,0.0543309199140116,#132B43,132,0.132,1,2,0.328499,530.209618710293,#132B43,0
0.121212121212121,0.0543309199140116,#4794D0,27,0.027,1,3,0.401499,530.209618710293,#4794D0,0
0.121212121212121,0.0365781709950793,#4794D0,27,0.027,1,3,0.401499,530.209618710293,#4794D0,0
0.106060606060606,0.0277017965356132,#4794D0,27,0.027,1,3,0.401499,530.209618710293,#4794D0,0
0.090909090909091,0.0365781709950793,#4794D0,27,0.027,1,3,0.401499,530.209618710293,#4794D0,0
0.090909090909091,0.0543309199140116,#4794D0,27,0.027,1,3,0.401499,530.209618710293,#4794D0,0
0.106060606060606,0.0632072943734777,#4794D0,27,0.027,1,3,0.401499,530.209618710293,#4794D0,0
0.121212121212121,0.0543309199140116,#4794D0,27,0.027,1,3,0.401499,530.209618710293,#4794D0,0
0.151515151515151,0.0543309199140116,#55AFF5,2,0.002,1,4,0.474499,530.209618710293,#55AFF5,0
0.151515151515151,0.0365781709950793,#55AFF5,2,0.002,1,4,0.474499,530.209618710293,#55AFF5,0
0.136363636363636,0.0277017965356132,#55AFF5,2,0.002,1,4,0.474499,530.209618710293,#55AFF5,0
0.121212121212121,0.0365781709950793,#55AFF5,2,0.002,1,4,0.474499,530.209618710293,#55AFF5,0
0.121212121212121,0.0543309199140116,#55AFF5,2,0.002,1,4,0.474499,530.209618710293,#55AFF5,0
0.136363636363636,0.0632072943734777,#55AFF5,2,0.002,1,4,0.474499,530.209618710293,#55AFF5,0
0.151515151515151,0.0543309199140116,#55AFF5,2,0.002,1,4,0.474499,530.209618710293,#55AFF5,0
0.0757575757575756,0.0810688878284501,#4085BD,40,0.04,1,5,0.291999,1060.41923842059,#4085BD,0
0.0757575757575756,0.0633161389095178,#4085BD,40,0.04,1,5,0.291999,1060.41923842059,#4085BD,0
0.0606060606060606,0.0544397644500517,#4085BD,40,0.04,1,5,0.291999,1060.41923842059,#4085BD,0
0.0454545454545455,0.0633161389095178,#4085BD,40,0.04,1,5,0.291999,1060.41923842059,#4085BD,0
0.0454545454545455,0.0810688878284501,#4085BD,40,0.04,1,5,0.291999,1060.41923842059,#4085BD,0
0.0606060606060606,0.0899452622879162,#4085BD,40,0.04,1,5,0.291999,1060.41923842059,#4085BD,0
0.0757575757575756,0.0810688878284501,#4085BD,40,0.04,1,5,0.291999,1060.41923842059,#4085BD,0
0.106060606060606,0.0810688878284501,#3875A6,56,0.056,1,6,0.364999,1060.41923842059,#3875A6,0
0.106060606060606,0.0633161389095178,#3875A6,56,0.056,1,6,0.364999,1060.41923842059,#3875A6,0
0.0909090909090909,0.0544397644500517,#3875A6,56,0.056,1,6,0.364999,1060.41923842059,#3875A6,0
0.0757575757575759,0.0633161389095178,#3875A6,56,0.056,1,6,0.364999,1060.41923842059,#3875A6,0
0.0757575757575759,0.0810688878284501,#3875A6,56,0.056,1,6,0.364999,1060.41923842059,#3875A6,0
0.0909090909090909,0.0899452622879162,#3875A6,56,0.056,1,6,0.364999,1060.41923842059,#3875A6,0
0.106060606060606,0.0810688878284501,#3875A6,56,0.056,1,6,0.364999,1060.41923842059,#3875A6,0
0.136363636363636,0.0810688878284501,#3876A8,55,0.055,1,7,0.437999,1060.41923842059,#3876A8,0
0.136363636363636,0.0633161389095178,#3876A8,55,0.055,1,7,0.437999,1060.41923842059,#3876A8,0
0.121212121212121,0.0544397644500517,#3876A8,55,0.055,1,7,0.437999,1060.41923842059,#3876A8,0
0.106060606060606,0.0633161389095178,#3876A8,55,0.055,1,7,0.437999,1060.41923842059,#3876A8,0
