colour	linetype	x	y	group
#F8766D	solid	0.0454545454545455	0.233528898891629	1
#F8766D	solid	0.146464646464646	0.295539471281119	1
#F8766D	solid	0.247474747474748	0.368765237835024	1
#F8766D	solid	0.348484848484849	0.447938927749175	1
#F8766D	solid	0.44949494949495	0.536077331576847	1
#F8766D	solid	0.550505050505051	0.584518935721253	1
#F8766D	solid	0.651515151515152	0.667474567356266	1
#F8766D	solid	0.752525252525253	0.677016593679914	1
#F8766D	solid	0.853535353535354	0.775453368517052	1
#F8766D	solid	0.954545454545455	0.954545454545454	1
#A3A500	22	0.0454545454545455	0.23901983658575	2
#A3A500	22	0.146464646464646	0.375660045482081	2
#A3A500	22	0.247474747474748	0.397032025558538	2
#A3A500	22	0.348484848484849	0.454743920489088	2
#A3A500	22	0.44949494949495	0.503105861787646	2
#A3A500	22	0.550505050505051	0.506296229539082	2
#A3A500	22	0.651515151515152	0.699761320510986	2
#A3A500	22	0.752525252525253	0.715713808936075	2
#A3A500	22	0.853535353535354	0.771095403396367	2
#A3A500	22	0.954545454545455	0.896562063082137	2
#00BF7D	42	0.0454545454545455	0.0454545454545454	3
#00BF7D	42	0.146464646464646	0.124716821239959	3
#00BF7D	42	0.247474747474748	0.113788970651662	3
#00BF7D	42	0.348484848484849	0.236902186751801	3
#00BF7D	42	0.44949494949495	0.309133554089181	3
#00BF7D	42	0.550505050505051	0.38998806967851	3
#00BF7D	42	0.651515151515152	0.465536554396528	3
#00BF7D	42	0.752525252525253	0.557492958668949	3
#00BF7D	42	0.853535353535354	0.675774560349546	3
#00BF7D	42	0.954545454545455	0.703136358227916	3
#00B0F6	44	0.0454545454545455	0.156489624110668	4
#00B0F6	44	0.146464646464646	0.134228820901863	4
#00B0F6	44	0.247474747474748	0.251755155369628	4
#00B0F6	44	0.348484848484849	0.325456969612261	4
#00B0F6	44	0.44949494949495	0.380034339898956	4
#00B0F6	44	0.550505050505051	0.462320112322873	4
#00B0F6	44	0.651515151515152	0.47011026131162	4
#00B0F6	44	0.752525252525253	0.649217574422074	4
#00B0F6	44	0.853535353535354	0.683814941738645	4
#00B0F6	44	0.954545454545455	0.707057329564891	4
#E76BF3	13	0.0454545454545455	0.318644953830574	5
#E76BF3	13	0.146464646464646	0.435423702463785	5
#E76BF3	13	0.247474747474748	0.535666452623537	5
#E76BF3	13	0.348484848484849	0.570061329611486	5
#E76BF3	13	0.44949494949495	0.6612664440607	5
#E76BF3	13	0.550505050505051	0.759555948630169	5
#E76BF3	13	0.651515151515152	0.73534962765952	5
#E76BF3	13	0.752525252525253	0.843568485039128	5
#E76BF3	13	0.853535353535354	0.932063703339172	5
#E76BF3	13	0.954545454545455	0.95326033926228	5
