linetype	colour	x	y	group
2423	#F8766D	0.0454545454545455	0.459660116206851	1
2423	#F8766D	0.146464646464646	0.501842530196716	1
2423	#F8766D	0.247474747474748	0.513373068095434	1
2423	#F8766D	0.348484848484849	0.631524309742606	1
2423	#F8766D	0.44949494949495	0.682294355890752	1
2423	#F8766D	0.550505050505051	0.715797141213327	1
2423	#F8766D	0.651515151515152	0.850532011515109	1
2423	#F8766D	0.752525252525253	0.925625366878129	1
2423	#F8766D	0.853535353535354	0.908503052060546	1
2423	#F8766D	0.954545454545455	0.954545454545455	1
2415	#A3A500	0.0454545454545455	0.214926223534488	2
2415	#A3A500	0.146464646464646	0.272095691188187	2
2415	#A3A500	0.247474747474748	0.430413730691824	2
2415	#A3A500	0.348484848484849	0.367621252755742	2
2415	#A3A500	0.44949494949495	0.409222218921476	2
2415	#A3A500	0.550505050505051	0.477602759258951	2
2415	#A3A500	0.651515151515152	0.563810989715212	2
2415	#A3A500	0.752525252525253	0.631580488181094	2
2415	#A3A500	0.853535353535354	0.673722677230302	2
2415	#A3A500	0.954545454545455	0.734916030280139	2
331323	#00BF7D	0.0454545454545455	0.201627405807805	3
331323	#00BF7D	0.146464646464646	0.239135710826736	3
331323	#00BF7D	0.247474747474748	0.286134732373302	3
331323	#00BF7D	0.348484848484849	0.342470920426331	3
331323	#00BF7D	0.44949494949495	0.449085391664011	3
331323	#00BF7D	0.550505050505051	0.483644165215557	3
331323	#00BF7D	0.651515151515152	0.562640258161649	3
331323	#00BF7D	0.752525252525253	0.586253159146817	3
331323	#00BF7D	0.853535353535354	0.692709311226087	3
331323	#00BF7D	0.954545454545455	0.745622854127757	3
F2F4	#00B0F6	0.0454545454545455	0.06513954926296	4
F2F4	#00B0F6	0.146464646464646	0.0454545454545455	4
F2F4	#00B0F6	0.247474747474748	0.167190723515941	4
F2F4	#00B0F6	0.348484848484849	0.193259602939824	4
F2F4	#00B0F6	0.44949494949495	0.283544221412194	4
F2F4	#00B0F6	0.550505050505051	0.343449499922473	4
F2F4	#00B0F6	0.651515151515152	0.383484690694081	4
F2F4	#00B0F6	0.752525252525253	0.469741636731444	4
F2F4	#00B0F6	0.853535353535354	0.516733391622265	4
F2F4	#00B0F6	0.954545454545455	0.605953162967296	4
solid	#E76BF3	0.0454545454545455	0.233742606552988	5
solid	#E76BF3	0.146464646464646	0.28506846834782	5
solid	#E76BF3	0.247474747474748	0.387460893723976	5
solid	#E76BF3	0.348484848484849	0.463238918226532	5
solid	#E76BF3	0.44949494949495	0.445563943223643	5
solid	#E76BF3	0.550505050505051	0.559799086581242	5
solid	#E76BF3	0.651515151515152	0.56905889003001	5
solid	#E76BF3	0.752525252525253	0.619223780582658	5
solid	#E76BF3	0.853535353535354	0.706325588824186	5
solid	#E76BF3	0.954545454545455	0.800940454098621	5
