fill,colour,x,y,density,group,level,piece,PANEL,xmin,xmax,ymin,ymax
#244C70,#244C70,0.0606060606060605,0.0454545454545455,0.000229408116979863,1,1,1,1,0.0454545454545455,0.0757575757575756,NA,0.061128526645768
#2B5A83,#2B5A83,0.0909090909090909,0.0454545454545455,0.000314878517588778,1,1,1,1,0.0757575757575758,0.106060606060606,NA,0.061128526645768
#2B5B84,#2B5B84,0.121212121212121,0.0454545454545455,0.000318638272966143,1,1,1,1,0.106060606060606,0.136363636363636,NA,0.061128526645768
#254F74,#254F74,0.151515151515151,0.0454545454545455,0.000246004451036923,1,1,1,1,0.136363636363636,0.166666666666667,NA,0.061128526645768
#1D4060,#1D4060,0.181818181818182,0.0454545454545455,0.000152174784598599,1,1,1,1,0.166666666666667,0.196969696969697,NA,0.061128526645768
#183551,#183551,0.212121212121212,0.0454545454545455,7.97119464128146e-05,1,1,1,1,0.196969696969697,0.227272727272727,NA,0.061128526645768
#152E48,#152E48,0.242424242424242,0.0454545454545455,3.68825625202171e-05,1,1,1,1,0.227272727272727,0.257575757575758,NA,0.061128526645768
#132B43,#132B43,0.272727272727273,0.0454545454545455,1.5359522132635e-05,1,1,1,1,0.257575757575758,0.287878787878788,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.303030303030303,0.0454545454545455,5.79748245637291e-06,1,1,1,1,0.287878787878788,0.318181818181818,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.333333333333333,0.0454545454545455,2.02875419947763e-06,1,1,1,1,0.318181818181818,0.348484848484848,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.363636363636364,0.0454545454545455,7.19154073413438e-07,1,1,1,1,0.348484848484849,0.378787878787879,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.393939393939394,0.0454545454545455,2.91025401535787e-07,1,1,1,1,0.378787878787879,0.409090909090909,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.424242424242424,0.0454545454545455,1.25577895994658e-07,1,1,1,1,0.409090909090909,0.439393939393939,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.454545454545455,0.0454545454545455,4.80396831671986e-08,1,1,1,1,0.43939393939394,0.46969696969697,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.484848484848485,0.0454545454545455,1.56805124040021e-08,1,1,1,1,0.46969696969697,0.5,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.515151515151515,0.0454545454545455,5.37855235100156e-09,1,1,1,1,0.5,0.53030303030303,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.545454545454546,0.0454545454545455,2.85249119790416e-09,1,1,1,1,0.53030303030303,0.560606060606061,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.575757575757576,0.0454545454545455,2.25432980088224e-09,1,1,1,1,0.560606060606061,0.590909090909091,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.606060606060606,0.0454545454545455,1.69783520811895e-09,1,1,1,1,0.590909090909091,0.621212121212121,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.636363636363637,0.0454545454545455,9.54260140939288e-10,1,1,1,1,0.621212121212121,0.651515151515152,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.666666666666667,0.0454545454545455,3.73149462114807e-10,1,1,1,1,0.651515151515152,0.681818181818182,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.696969696969697,0.0454545454545455,9.98010246993557e-11,1,1,1,1,0.681818181818182,0.712121212121212,NA,0.061128526645768
