colour	linetype	x	y	group
#F8766D	22	0.0454545454545455	0.237532110777847	1
#F8766D	22	0.146464646464646	0.294508348607054	1
#F8766D	22	0.247474747474748	0.413494273208565	1
#F8766D	22	0.348484848484849	0.538176722590661	1
#F8766D	22	0.44949494949495	0.522190083358458	1
#F8766D	22	0.550505050505051	0.596300995713352	1
#F8766D	22	0.651515151515152	0.704664576286814	1
#F8766D	22	0.752525252525253	0.808563117684545	1
#F8766D	22	0.853535353535354	0.842930780163289	1
#F8766D	22	0.954545454545455	0.946246316364009	1
#A3A500	solid	0.0454545454545455	0.0472275419477829	2
#A3A500	solid	0.146464646464646	0.145708284686866	2
#A3A500	solid	0.247474747474748	0.242239618176286	2
#A3A500	solid	0.348484848484849	0.304355701445888	2
#A3A500	solid	0.44949494949495	0.363700456460627	2
#A3A500	solid	0.550505050505051	0.453558018325453	2
#A3A500	solid	0.651515151515152	0.5495123103248	2
#A3A500	solid	0.752525252525253	0.511401349445326	2
#A3A500	solid	0.853535353535354	0.646177097543255	2
#A3A500	solid	0.954545454545455	0.697340615869372	2
#00BF7D	22	0.0454545454545455	0.273983170032399	3
#00BF7D	22	0.146464646464646	0.255023253180884	3
#00BF7D	22	0.247474747474748	0.41637100142526	3
#00BF7D	22	0.348484848484849	0.499931638827998	3
#00BF7D	22	0.44949494949495	0.61687764876856	3
#00BF7D	22	0.550505050505051	0.647975662931927	3
#00BF7D	22	0.651515151515152	0.757334015165768	3
#00BF7D	22	0.752525252525253	0.732095016333914	3
#00BF7D	22	0.853535353535354	0.82203178593856	3
#00BF7D	22	0.954545454545455	0.954545454545455	3
#00B0F6	solid	0.0454545454545455	0.137452782394322	4
#00B0F6	solid	0.146464646464646	0.247592764424038	4
#00B0F6	solid	0.247474747474748	0.290081374582643	4
#00B0F6	solid	0.348484848484849	0.37746361104202	4
#00B0F6	solid	0.44949494949495	0.459311331418247	4
#00B0F6	solid	0.550505050505051	0.467302551984147	4
#00B0F6	solid	0.651515151515152	0.612417020815672	4
#00B0F6	solid	0.752525252525253	0.670589187661522	4
#00B0F6	solid	0.853535353535354	0.751627247067315	4
#00B0F6	solid	0.954545454545455	0.833824445823913	4
#E76BF3	22	0.0454545454545455	0.0454545454545455	5
#E76BF3	22	0.146464646464646	0.0835986570648038	5
#E76BF3	22	0.247474747474748	0.195174883089839	5
#E76BF3	22	0.348484848484849	0.246662707186701	5
#E76BF3	22	0.44949494949495	0.288094074319233	5
#E76BF3	22	0.550505050505051	0.367619820671994	5
#E76BF3	22	0.651515151515152	0.413645851260687	5
#E76BF3	22	0.752525252525253	0.461086701889176	5
#E76BF3	22	0.853535353535354	0.537984395393295	5
#E76BF3	22	0.954545454545455	0.63915973461177	5
