order	level	x	y	piece	group
100	100	0.954545454545455	0.546844466462995	1	1-001
100	100	0.943974630021142	0.546844466462995	1	1-001
100	100	0.934373517828305	0.560606060606061	1	1-001
100	100	0.933403805496829	0.56199598161451	1	1-001
100	100	0.922832980972516	0.56199598161451	1	1-001
100	100	0.91323186877968	0.575757575757576	1	1-001
100	100	0.912262156448203	0.577147496766025	1	1-001
100	100	0.902661044255367	0.590909090909091	1	1-001
100	100	0.90169133192389	0.592299011917541	1	1-001
100	100	0.892090219731054	0.606060606060606	1	1-001
100	100	0.891120507399577	0.607450527069056	1	1-001
100	100	0.881519395206741	0.621212121212121	1	1-001
100	100	0.880549682875264	0.622602042220571	1	1-001
100	100	0.870948570682428	0.636363636363636	1	1-001
100	100	0.869978858350951	0.637753557372086	1	1-001
100	100	0.860377746158115	0.651515151515151	1	1-001
100	100	0.859408033826639	0.65224352040154	1	1-001
100	100	0.849345373641667	0.666666666666667	1	1-001
100	100	0.848837209302326	0.667160153616136	1	1-001
100	100	0.838610677998572	0.681818181818182	1	1-001
100	100	0.838266384778013	0.682311668767651	1	1-001
100	100	0.82803985347426	0.696969696969697	1	1-001
100	100	0.8276955602537	0.697342850598154	1	1-001
100	100	0.817385075470171	0.712121212121212	1	1-001
100	100	0.817124735729387	0.712494365749669	1	1-001
100	100	0.806814250945858	0.727272727272727	1	1-001
100	100	0.806553911205074	0.727766214222196	1	1-001
100	100	0.796327379901321	0.742424242424242	1	1-001
100	100	0.795983086680761	0.743152611310631	1	1-001
100	100	0.785920426495789	0.757575757575758	1	1-001
100	100	0.785920426495789	0.772727272727273	1	1-001
100	100	0.785412262156448	0.774117193735722	1	1-001
100	100	0.775811149963612	0.787878787878788	1	1-001
100	100	0.774841437632135	0.789268708887237	1	1-001
100	100	0.765240325439299	0.803030303030303	1	1-001
100	100	0.765240325439299	0.818181818181818	1	1-001
100	100	0.765240325439299	0.833333333333333	1	1-001
100	100	0.764270613107822	0.834723254341783	1	1-001
100	100	0.754669500914986	0.848484848484849	1	1-001
100	100	0.754669500914986	0.863636363636364	1	1-001
100	100	0.754669500914986	0.878787878787879	1	1-001
100	100	0.754669500914986	0.893939393939394	1	1-001
100	100	0.75369978858351	0.895329314947844	1	1-001
100	100	0.744098676390673	0.909090909090909	1	1-001
100	100	0.744098676390673	0.924242424242424	1	1-001
100	100	0.744098676390673	0.939393939393939	1	1-001
100	100	0.744098676390673	0.954545454545455	1	1-001
100	100	0.870948570682428	0.0454545454545455	2	1-002
100	100	0.880549682875264	0.059216139597611	2	1-002
100	100	0.891120507399577	0.059216139597611	2	1-002
100	100	0.90169133192389	0.059216139597611	2	1-002
100	100	0.902661044255367	0.0606060606060606	2	1-002
100	100	0.902661044255367	0.0757575757575758	2	1-002
100	100	0.902661044255367	0.0909090909090909	2	1-002
100	100	0.912262156448203	0.104670685052156	2	1-002
100	100	0.91323186877968	0.106060606060606	2	1-002
100	100	0.922832980972516	0.119822200203672	2	1-002
100	100	0.923802693303992	0.121212121212121	2	1-002
100	100	0.933403805496829	0.134973715355187	2	1-002
100	100	0.934373517828305	0.136363636363636	2	1-002
100	100	0.943974630021142	0.150125230506702	2	1-002
100	100	0.944944342352618	0.151515151515152	2	1-002
100	100	0.954545454545455	0.165276745658217	2	1-002
100	100	0.954545454545455	0.198359617978147	3	1-003
100	100	0.944944342352618	0.212121212121212	3	1-003
100	100	0.943974630021142	0.213511133129662	3	1-003
100	100	0.933403805496829	0.213511133129662	3	1-003
100	100	0.923802693303992	0.227272727272727	3	1-003
100	100	0.923802693303992	0.242424242424242	3	1-003
100	100	0.933403805496829	0.256185836567308	3	1-003
100	100	0.934373517828305	0.257575757575758	3	1-003
100	100	0.943974630021142	0.271337351718823	3	1-003
100	100	0.944944342352618	0.272727272727273	3	1-003
100	100	0.954545454545455	0.286488866870338	3	1-003
110	110	0.160763902890511	0.0454545454545455	4	1-004
110	110	0.151162790697674	0.059216139597611	4	1-004
110	110	0.150193078366198	0.0606060606060606	4	1-004
110	110	0.150193078366198	0.0757575757575758	4	1-004
110	110	0.140591966173362	0.0895191699006413	4	1-004
110	110	0.139622253841885	0.0909090909090909	4	1-004
110	110	0.139622253841885	0.106060606060606	4	1-004
110	110	0.139622253841885	0.121212121212121	4	1-004
110	110	0.139622253841885	0.136363636363636	4	1-004
110	110	0.140591966173362	0.137753557372086	4	1-004
110	110	0.150193078366198	0.151515151515152	4	1-004
110	110	0.150193078366198	0.166666666666667	4	1-004
110	110	0.150654626358333	0.181818181818182	4	1-004
110	110	0.140591966173362	0.196241328083308	4	1-004
110	110	0.14008380183402	0.196969696969697	4	1-004
110	110	0.14008380183402	0.212121212121212	4	1-004
110	110	0.130021141649049	0.226544358386338	4	1-004
110	110	0.129512977309708	0.227272727272727	4	1-004
110	110	0.126497533474278	0.242424242424242	4	1-004
110	110	0.119450317124736	0.256847388689369	4	1-004
110	110	0.118942152785395	0.257575757575758	4	1-004
110	110	0.111522198731501	0.272727272727273	4	1-004
110	110	0.108879492600423	0.28030303030303	4	1-004
110	110	0.103594080338266	0.287878787878788	4	1-004
110	110	0.09830866807611	0.301640382021853	4	1-004
110	110	0.0978005037367689	0.303030303030303	4	1-004
110	110	0.0978005037367689	0.318181818181818	4	1-004
110	110	0.0930232558139535	0.333333333333333	4	1-004
110	110	0.0903805496828753	0.348484848484849	4	1-004
110	110	0.087737843551797	0.362246442627914	4	1-004
110	110	0.0873935503312374	0.363636363636364	4	1-004
110	110	0.0824524312896406	0.378787878787879	4	1-004
110	110	0.0771670190274841	0.393211025053005	4	1-004
110	110	0.0768227258069245	0.393939393939394	4	1-004
