a,b,anew,c,d
0,-10,0.000495715947698165,-9.93961739856292,-0.384432138930191
0.005,-10,0.00553750077792609,-9.96225931048709,-0.474565135540532
0.01,-10,0.0101311101497479,-10.043483926072,-0.463086491425619
0.015,-10,0.0140444889660795,-9.76922090406543,-0.380120159586196
0.02,-10,0.0215709708536775,-10.0162834346805,-0.412397013558513
0.025,-10,0.026317344066475,-9.9156620398012,-0.165458122725588
0.03,-10,0.029726581650257,-9.76315793117675,-0.074054499561935
0.035,-10,0.034984168329867,-9.92644415084414,-0.0459739268737441
0.04,-10,0.0393465176342684,-9.81075832592662,-0.0101379862058651
0.045,-10,0.0438371158415867,-9.72478787800709,-0.051260931535863
0.05,-10,0.0501884942934059,-9.72237311573518,0.0151913716664976
0.055,-10,0.0552470109187446,-9.56695954272908,0.26779513821879
0.06,-10,0.0610028515038894,-9.74689510926967,0.223746209075847
0.065,-10,0.0648710115046604,-9.68922703697628,0.120158424915043
0.07,-10,0.0708093539945811,-9.75542117083436,0.248621147247883
0.075,-10,0.0754986847283922,-9.60196165208539,0.232739076290998
0.08,-10,0.0798377807722323,-9.46858694298759,0.184301108248695
0.085,-10,0.0836993580724474,-9.61797106678633,0.365167455698388
0.09,-10,0.0902916632975006,-9.55007897698745,0.614403850684142
0.095,-10,0.0951815706331482,-9.39437521170167,0.512140902352702
0.1,-10,0.100879368654501,-9.35568017637193,0.647480460010647
0.105,-10,0.105588830132371,-9.40713858096175,0.715371897287749
0.11,-10,0.110949406512541,-9.53975098352115,0.705385576856443
0.115,-10,0.114600710397376,-9.45879864677783,0.855506901743553
0.12,-10,0.120055975984061,-9.20137056900126,0.696013959909327
0.125,-10,0.125422576218341,-9.51820821367385,0.83985249991071
0.13,-10,0.131713031935853,-9.3169648932247,0.871656423763241
0.135,-10,0.136217202396652,-9.28133313372667,0.80980561848085
0.14,-10,0.139420994429779,-9.33860305491879,1.15204381475026
0.145,-10,0.14541462450423,-9.18011918401793,1.19561707061074
0.15,-10,0.150291846235129,-9.33818456774075,1.15844080217081
0.155,-10,0.154596727249757,-9.30478940369403,1.22128979156187
0.16,-10,0.161421676462406,-9.37924946789229,1.27388755817476
0.165,-10,0.164568604745859,-9.18968459893754,1.13667860296334
0.17,-10,0.171664907967506,-9.23536846511615,1.1467786544781
0.175,-10,0.173840040510767,-9.31783513177264,1.46309935986211
0.18,-10,0.179718120769267,-9.18095043518161,1.43394739830072
0.185,-10,0.186129348943202,-9.11683754090707,1.52158002939324
0.19,-10,0.190992262729185,-9.07365126339424,1.31072025569466
0.195,-10,0.195393934937084,-9.02776527260681,1.56193079238271
0.2,-10,0.199931787047803,-9.00834105766166,1.42778706858061
0.205,-10,0.206398362154687,-8.74945165706398,1.59072166005358
0.21,-10,0.211097554053816,-9.030839439517,1.8444890532646
0.215,-10,0.214575201538174,-8.93477988627663,1.70644649307575
0.22,-10,0.219627773468358,-8.89660384619447,1.68421854014927
0.225,-10,0.223612099455758,-8.96389630137244,1.89497784136153
0.23,-10,0.230258107579032,-8.90467640286567,1.87146019220907
0.235,-10,0.235058159069746,-8.91514678751287,1.94453285813615
0.24,-10,0.241014847872238,-8.8843366923146,2.08480089400509
0.245,-10,0.247070569786035,-8.81558029028854,2.12345934506839
0.25,-10,0.248423372823684,-8.56152289327997,2.15637970931862
0.255,-10,0.253451581166864,-8.69390637213399,2.13268515513155
0.26,-10,0.259250724127674,-8.66554488116923,2.1646576869046
0.265,-10,0.263935052505491,-8.76115150835556,2.35450862513411
0.27,-10,0.269803572498828,-8.59083493305403,2.33676831916593
0.275,-10,0.276443976442564,-8.57566080987851,2.39285431976032
0.28,-10,0.278787584162834,-8.57199377872495,2.57225912949308
0.285,-10,0.284711820021252,-8.55179008820897,2.34557143111041
0.29,-10,0.290544734206091,-8.50336189038727,2.51825030389111
0.295,-10,0.295400749688368,-8.43800519687492,2.40599807778486
0.3,-10,0.300289210067436,-8.68424822091998,2.47969000470644
0.305,-10,0.305480760021152,-8.57842493492902,2.68758493336059
0.31,-10,0.310054240402393,-8.5145556278598,2.72445235853033
0.315,-10,0.314999971332491,-8.59451751095644,2.58891514210517
0.32,-10,0.321683615746748,-8.4010042307616,2.82072300450962
0.325,-10,0.325175957662088,-8.43202306321448,2.93368001677537
0.33,-10,0.331913305797753,-8.16847642665441,3.00305311662769
0.335,-10,0.335538263862506,-8.27085930910621,2.95379915951696
0.34,-10,0.339418546419108,-8.43033006705596,2.94005419608808
0.345,-10,0.344868928525787,-8.36259884741444,2.94947199734973
0.35,-10,0.351064351828393,-8.211958398507,3.10674607031667
0.355,-10,0.354906237387696,-8.17875687394317,3.18588863118969
0.36,-10,0.35868528823855,-8.23674960777043,3.1664369643595
0.365,-10,0.36737628294865,-8.23405387543787,3.15954048005815
0.37,-10,0.371126330560891,-8.27671369179595,3.43528491532804
0.375,-10,0.37596983328745,-8.22735302871875,3.39427666735294
0.38,-10,0.381434279463998,-8.0294373517977,3.54896596638895
0.385,-10,0.384747386421557,-7.98348801566967,3.36549130459342
0.39,-10,0.389953121104044,-8.02806360364645,3.43065052770885
0.395,-10,0.395250196636416,-8.04861498417817,3.63655810896663
0.4,-10,0.401711140700722,-7.98589971056188,3.63408780439763
0.405,-10,0.40509858147006,-7.93799114865666,3.69876653816004
0.41,-10,0.409746224530469,-7.97072381258804,3.83128615300585
0.415,-10,0.415523212266835,-7.94206125468196,3.77316726816549
0.42,-10,0.419288256108497,-8.0127355615524,3.83723831983645
0.425,-10,0.424251691839002,-8.06012154262205,3.80983394634677
0.43,-10,0.429964381297338,-7.9699893691065,3.93716940402014
0.435,-10,0.437180539880828,-7.70250621938018,4.14414116964357
0.44,-10,0.44160068876683,-7.90526553571601,4.11749412120567
0.445,-10,0.445639305694137,-7.78951264813522,4.10914130229528
0.45,-10,0.449416059042432,-7.85017444419773,4.17565204650319
0.455,-10,0.453640850679023,-7.79420363778048,4.24506641533859
0.46,-10,0.459717408766184,-7.80680228695954,4.24470701396194
0.465,-10,0.464836774372113,-7.65397974487025,4.24005628551066
0.47,-10,0.467858937848846,-7.78787031076951,4.30299118002591
0.475,-10,0.475022609380009,-7.65109480904157,4.33937614650322
0.48,-10,0.478573481222537,-7.44632623590862,4.45527548896533
0.485,-10,0.486779311124721,-7.36909063471921,4.80453128849514
0.49,-10,0.490416250856199,-7.49341870231908,4.54853471996298
0.495,-10,0.495256772240808,-7.61745830438839,4.68284121748544
0.5,-10,0.498984748004843,-7.52533911396523,4.76201924908326
0.505,-10,0.503828820777376,-7.53663874571468,4.88655342682401
0.51,-10,0.510234318058831,-7.24269089720432,4.62160397209605
0.515,-10,0.511636856688233,-7.4105164554462,4.77828137589844
0.52,-10,0.518671375557966,-7.38577105356602,4.86477053784582
0.525,-10,0.52529702858479,-7.30496755269004,4.89290934663322
0.53,-10,0.528758844972715,-7.28068371358366,4.94483398326714
0.535,-10,0.535282104940041,-7.30711932559086,4.93999096230089
0.54,-10,0.540275488085965,-7.53076472269768,4.93525053316813
0.545,-10,0.543817021764878,-7.34477536867933,5.22899896173739
0.55,-10,0.549867869968849,-7.33293364726516,5.33347710070775
0.555,-10,0.555083948883216,-7.16819231747739,5.32556204186768
0.56,-10,0.561244555812711,-7.14816938649861,5.427477219495
0.565,-10,0.564887189413623,-7.11013221126902,5.27724996405193
0.57,-10,0.568704438473213,-7.04813159879837,5.34488806488615
0.575,-10,0.575411507592525,-7.06435667899181,5.51204073839767
0.58,-10,0.579607329307817,-7.06721908800343,5.54185780296323
0.585,-10,0.584164818789078,-7.11806688289557,5.58075632748766
0.59,-10,0.589635702968345,-7.08363229748009,5.66462850587632
0.595,-10,0.59395813062531,-6.98079204679699,5.55975019212303
0.6,-10,0.598551065082879,-6.97008825249327,5.75481825078036
0.605,-10,0.605195959374034,-6.79101934962883,5.79676266316011
0.61,-10,0.610713612728959,-6.99073581070093,5.78031508097137
0.615,-10,0.615170495180435,-6.76574037721313,6.15996519619327
0.62,-10,0.619867302045898,-7.04195574989385,6.0466329635805
0.625,-10,0.62565681016104,-6.86352097023102,6.13688871460707
0.63,-10,0.629466882010587,-6.81895791284371,6.19121059405487
0.635,-10,0.638868469818021,-6.90146175531106,6.188381738943
0.64,-10,0.640487481012587,-6.89010349390867,6.06591956450688
0.645,-10,0.645210025894517,-6.76208652336944,6.0760841642273
0.65,-10,0.65155921962236,-6.78406551121993,6.21137314159312
0.655,-10,0.655722463495095,-6.79614142069419,6.17117724363909
0.66,-10,0.661039926115824,-6.80051193257177,6.25701988191403
0.665,-10,0.664331284869511,-6.62315115763517,6.35230030319873
0.67,-10,0.67056579483358,-6.65467639051488,6.4787674354487
0.675,-10,0.674853310093838,-6.68659991821217,6.59577598506835
0.68,-10,0.680947045686433,-6.55070687577356,6.65492611286286
