area,p
0,0.155668856920187
0.1,0.176886230312695
0.2,0.19782632646342
0.3,0.218486535132857
0.4,0.2388642460815
0.5,0.258956849069844
0.6,0.278761733858384
0.7,0.298276290207615
0.8,0.317497907878032
0.9,0.336423976630129
1,0.355051886224402
1.1,0.373379026421344
1.2,0.391402786981451
1.3,0.409120557665218
1.4,0.426529728233139
1.5,0.44362768844571
1.6,0.460411828063424
1.7,0.476879536846777
1.8,0.493028204556264
1.9,0.508852347960152
2,0.524351714480433
2.1,0.539531539858185
2.2,0.554397059834487
2.3,0.568953510150419
2.4,0.58320612654706
2.5,0.597160144765487
2.6,0.610820800546781
2.7,0.62419332963202
2.8,0.637282967762283
2.9,0.65009495067865
3,0.662634514122199
3.1,0.674906893834008
3.2,0.686917325555159
3.3,0.698671045026728
3.4,0.710173287989795
3.5,0.72142929018544
3.6,0.73244428735474
3.7,0.743223515238776
3.8,0.753613151360322
3.9,0.763477389096976
4,0.77284848797205
4.1,0.781758707508854
4.2,0.790240307230699
4.3,0.798325546660897
4.4,0.80604668532276
4.5,0.813435982739598
4.6,0.820525698434722
4.7,0.827348091931445
4.8,0.833935422753077
4.9,0.84031995042293
5,0.846533934464314
5.1,0.852609634400541
5.2,0.858579309754923
5.3,0.864475220050771
5.4,0.870329624811395
5.5,0.876174783560107
5.6,0.882042955820219
5.7,0.887798181662553
5.8,0.893292216137659
5.9,0.898538891238436
6,0.903552038957785
6.1,0.908345491288605
6.2,0.912933080223796
6.3,0.917328637756258
6.4,0.921545995878891
6.5,0.925598986584595
6.6,0.92950144186627
6.7,0.933267193716815
6.8,0.936910074129131
6.9,0.940443915096118
7,0.943882548610675
7.1,0.947239806665703
7.2,0.9505295212541
7.3,0.953765524368768
7.4,0.956961648002606
7.5,0.960131724148514
7.6,0.963157075383425
7.7,0.965922418138169
7.8,0.968446675186487
7.9,0.970748769302121
8,0.972847623258813
8.1,0.974762159830305
8.2,0.976511301790339
8.3,0.978113971912657
8.4,0.979589092971
8.5,0.980955587739112
8.6,0.982232378990733
8.7,0.983438389499606
8.8,0.984592542039473
8.9,0.985713759384075
9,0.986820964307155
9.1,0.987933079582454
9.2,0.989069027983715
9.3,0.99024773228468
9.4,0.991488115259089
9.5,0.992704240589272
9.6,0.993803172898774
9.7,0.994793336373168
9.8,0.995683155198025
9.9,0.996481053558918
10,0.997195455641417
10.1,0.997834785631094
10.2,0.998407467713521
10.3,0.99892192607427
10.4,0.999386584898913
10.5,0.99980986837302
10.6,1
10.7,1
10.8,1
10.9,1
11,1
11.1,1
11.2,1
11.3,1
11.4,1
11.5,1
11.6,1
11.7,1
11.8,1
11.9,1
12,1
12.1,1
12.2,1
12.3,1
12.4,1
12.5,1
12.6,1
12.7,1
12.8,1
12.9,1
13,1
13.1,1
13.2,1
13.3,1
13.4,1
13.5,1
13.6,1
13.7,1
13.8,1
13.9,1
14,1
14.1,1
14.2,1
14.3,1
14.4,1
14.5,1
14.6,1
14.7,1
14.8,1
14.9,1
15,1
