alpha,colour,fill,x,y,clickSelects,showSelected,PANEL,group
0.1,#F8766D,#F8766D,0.626905838333146,0.653134067663945,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.518994244985099,0.656646608270275,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.649055530936851,0.791425390178109,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.518463280565944,0.584344293732321,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.816262444861894,0.657981270707914,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.589587215540077,0.646374768447881,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.585322275992367,0.655120348791479,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.476592001607057,0.657005345138595,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.552439074793754,0.600766998726612,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.612236304691471,0.681508859454848,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.571734268739434,0.743977607360957,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.760509923538331,0.72082210029031,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.534237950831716,0.727958807974364,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.630939966330222,0.750230154972224,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.479496781642364,0.584404111310376,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.60086962426763,0.682072742002852,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.601284583083299,0.634068687988845,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.686663321577624,0.691778301633492,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.459419091351419,0.793515296759825,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.698561826935042,0.621510034254928,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.480702973165808,0.703114659650443,Q1,Q1,1,1
0.1,#F8766D,#F8766D,0.757846680555231,0.585972716780461,Q1,Q1,1,1
