alpha,colour,fill,x,y,clickSelects,showSelected,PANEL,group
0.7064,#F8766D,#F8766D,0.53785366304945,0.649537467731,Q1,Q1,1,1
0.7592,#F8766D,#F8766D,0.592810541059819,0.70609783210268,Q1,Q1,1,1
0.6208,#F8766D,#F8766D,0.509556646677476,0.537508003185286,Q1,Q1,1,1
0.6248,#F8766D,#F8766D,0.514795824739744,0.541171913825901,Q1,Q1,1,1
1,#F8766D,#F8766D,0.813506890048179,0.954545454545455,Q1,Q1,1,1
0.6824,#F8766D,#F8766D,0.591437777270714,0.579734425587014,Q1,Q1,1,1
0.7136,#F8766D,#F8766D,0.658077747188166,0.534624526387216,Q1,Q1,1,1
0.6992,#F8766D,#F8766D,0.63356841053477,0.550216538562332,Q1,Q1,1,1
0.776,#F8766D,#F8766D,0.621016392275799,0.717213969828728,Q1,Q1,1,1
0.7128,#F8766D,#F8766D,0.659818956727938,0.517023485790823,Q1,Q1,1,1
0.6616,#F8766D,#F8766D,0.586560505119989,0.529382993369641,Q1,Q1,1,1
0.7784,#F8766D,#F8766D,0.595861584918632,0.731992536362381,Q1,Q1,1,1
0.7944,#F8766D,#F8766D,0.676278288021511,0.708604516596818,Q1,Q1,1,1
0.7648,#F8766D,#F8766D,0.729137426148844,0.536138612304935,Q1,Q1,1,1
0.6928,#F8766D,#F8766D,0.620803415496274,0.559066758616388,Q1,Q1,1,1
0.684,#F8766D,#F8766D,0.608928961216909,0.55591427818923,Q1,Q1,1,1
0.7896,#F8766D,#F8766D,0.711786082659116,0.663129721106492,Q1,Q1,1,1
0.8048,#F8766D,#F8766D,0.53997495084753,0.78362006189579,Q1,Q1,1,1
0.6784,#F8766D,#F8766D,0.600410883896883,0.556006849592039,Q1,Q1,1,1
0.8176,#F8766D,#F8766D,0.553994187425747,0.799685053826582,Q1,Q1,1,1
0.8216,#F8766D,#F8766D,0.749945107207578,0.68490966961535,Q1,Q1,1,1
0.7904,#F8766D,#F8766D,0.757114941779487,0.572581752242277,Q1,Q1,1,1
0.632,#F8766D,#F8766D,0.533802993838864,0.54111285315091,Q1,Q1,1,1
0.8272,#F8766D,#F8766D,0.635656243555806,0.787568787924724,Q1,Q1,1,1
0.7992,#F8766D,#F8766D,0.713310529335495,0.681041039284059,Q1,Q1,1,1
0.6584,#F8766D,#F8766D,0.559701692122458,0.565105803904609,Q1,Q1,1,1
0.7584,#F8766D,#F8766D,0.720970676571522,0.530788322105806,Q1,Q1,1,1
0.8168,#F8766D,#F8766D,0.545227278001801,0.800297147526967,Q1,Q1,1,1
0.7488,#F8766D,#F8766D,0.658624679585652,0.640537643406998,Q1,Q1,1,1
0.9128,#F8766D,#F8766D,0.807189569273672,0.807115472222225,Q1,Q1,1,1
0.7528,#F8766D,#F8766D,0.564732385018472,0.706975586387993,Q1,Q1,1,1
0.8152,#F8766D,#F8766D,0.716099650323045,0.711183363889497,Q1,Q1,1,1
0.852,#F8766D,#F8766D,0.810241337766713,0.667095780652765,Q1,Q1,1,1
0.6816,#F8766D,#F8766D,0.617127405858001,0.509497942260572,Q1,Q1,1,1
0.748,#F8766D,#F8766D,0.704804887844362,0.54466399919195,Q1,Q1,1,1
0.7712,#F8766D,#F8766D,0.706732238378117,0.625375252076537,Q1,Q1,1,1
0.7088,#F8766D,#F8766D,0.571357394571221,0.640613041013769,Q1,Q1,1,1
0.7296,#F8766D,#F8766D,0.549740528329817,0.678689364833167,Q1,Q1,1,1
0.6872,#F8766D,#F8766D,0.624142791892409,0.520543684726314,Q1,Q1,1,1
0.608,#F8766D,#F8766D,0.512837969736856,0.515129973106963,Q1,Q1,1,1
0.6672,#F8766D,#F8766D,0.501685101644335,0.601820401419765,Q1,Q1,1,1
0.7184,#F8766D,#F8766D,0.542427071737763,0.664611838104524,Q1,Q1,1,1
0.7368,#F8766D,#F8766D,0.686589455107622,0.552350314387285,Q1,Q1,1,1
0.7048,#F8766D,#F8766D,0.553764351350199,0.642556350432204,Q1,Q1,1,1
0.6064,#F8766D,#F8766D,0.512261048916026,0.511974721174118,Q1,Q1,1,1
0.7096,#F8766D,#F8766D,0.535157317439401,0.654774843266875,Q1,Q1,1,1
0.6768,#F8766D,#F8766D,0.609079476633523,0.521348166873216,Q1,Q1,1,1
0.6632,#F8766D,#F8766D,0.550426370178934,0.581327419209209,Q1,Q1,1,1
0.6432,#F8766D,#F8766D,0.527087101779946,0.563275994725766,Q1,Q1,1,1
0.6656,#F8766D,#F8766D,0.502287091290668,0.599393353664795,Q1,Q1,1,1
0.712,#F8766D,#F8766D,0.539428210006619,0.657339147527411,Q1,Q1,1,1
0.6592,#F8766D,#F8766D,0.584351538452465,0.525581658464404,Q1,Q1,1,1
0.7688,#F8766D,#F8766D,0.541028037537688,0.734770753512468,Q1,Q1,1,1
0.6568,#F8766D,#F8766D,0.578553179174741,0.531614653318813,Q1,Q1,1,1
0.7424,#F8766D,#F8766D,0.632217338536235,0.653190273073037,Q1,Q1,1,1
0.7584,#F8766D,#F8766D,0.720143027640522,0.535544006902999,Q1,Q1,1,1
0.7032,#F8766D,#F8766D,0.534510312093648,0.645489772656687,Q1,Q1,1,1
0.7008,#F8766D,#F8766D,0.543316646669634,0.639960640599232,Q1,Q1,1,1
0.7728,#F8766D,#F8766D,0.740667953936912,0.526811253158496,Q1,Q1,1,1
