colour	x	y	group
#F8766D	0.0454545454545455	0.162645873389763	1
#F8766D	0.146464646464646	0.34311606967914	1
#F8766D	0.247474747474748	0.421518208091519	1
#F8766D	0.348484848484849	0.437969209372334	1
#F8766D	0.44949494949495	0.476698024978385	1
#F8766D	0.550505050505051	0.596142801120078	1
#F8766D	0.651515151515152	0.582867995336583	1
#F8766D	0.752525252525253	0.729270459469913	1
#F8766D	0.853535353535354	0.764660609048032	1
#F8766D	0.954545454545455	0.760773864233114	1
#A3A500	0.0454545454545455	0.218295750878836	2
#A3A500	0.146464646464646	0.280691243476165	2
#A3A500	0.247474747474748	0.375024357432187	2
#A3A500	0.348484848484849	0.428250724584484	2
#A3A500	0.44949494949495	0.521176191225573	2
#A3A500	0.550505050505051	0.670666621876177	2
#A3A500	0.651515151515152	0.716852026700558	2
#A3A500	0.752525252525253	0.780029916523507	2
#A3A500	0.853535353535354	0.762699839389129	2
#A3A500	0.954545454545455	0.91007257540809	2
#00BF7D	0.0454545454545455	0.23510198470519	3
#00BF7D	0.146464646464646	0.339575119668308	3
#00BF7D	0.247474747474748	0.282582324619198	3
#00BF7D	0.348484848484849	0.436050291971237	3
#00BF7D	0.44949494949495	0.471811074453181	3
#00BF7D	0.550505050505051	0.585515837002579	3
#00BF7D	0.651515151515152	0.604950783362118	3
#00BF7D	0.752525252525253	0.740172453118449	3
#00BF7D	0.853535353535354	0.822133224197924	3
#00BF7D	0.954545454545455	0.755051218148985	3
#00B0F6	0.0454545454545455	0.0454545454545455	4
#00B0F6	0.146464646464646	0.171300142287152	4
#00B0F6	0.247474747474748	0.180682867149759	4
#00B0F6	0.348484848484849	0.22577756845379	4
#00B0F6	0.44949494949495	0.329581832696468	4
#00B0F6	0.550505050505051	0.436095049009808	4
#00B0F6	0.651515151515152	0.471014231474541	4
#00B0F6	0.752525252525253	0.508350275384341	4
#00B0F6	0.853535353535354	0.587634359588553	4
#00B0F6	0.954545454545455	0.634074891422892	4
#E76BF3	0.0454545454545455	0.318151975935909	5
#E76BF3	0.146464646464646	0.368327153452057	5
#E76BF3	0.247474747474748	0.422193171963054	5
#E76BF3	0.348484848484849	0.463027554646901	5
#E76BF3	0.44949494949495	0.613831442172749	5
#E76BF3	0.550505050505051	0.665960977176024	5
#E76BF3	0.651515151515152	0.708158770965372	5
#E76BF3	0.752525252525253	0.809574479787224	5
#E76BF3	0.853535353535354	0.871322515440565	5
#E76BF3	0.954545454545455	0.954545454545454	5
