colour	x	y	clickSelects	fill
#F8766D	0.188387499952858	0.415495692413639	Female.No	#F8766D
#7CAE00	0.881539008326151	0.253577386791056	Male.No	#7CAE00
#7CAE00	0.635547886517915	0.293660736727444	Male.No	#7CAE00
#7CAE00	0.635625266385349	0.361710959452797	Male.No	#7CAE00
#F8766D	0.126222910952162	0.147887815890664	Female.No	#F8766D
#7CAE00	0.856335422870788	0.18624046461826	Male.No	#7CAE00
#7CAE00	0.680037171664563	0.148164767348631	Male.No	#7CAE00
#7CAE00	0.581834658049047	0.248928950337524	Male.No	#7CAE00
#7CAE00	0.71952588822354	0.3818793755702	Male.No	#7CAE00
#7CAE00	0.715144161981615	0.170668523419987	Male.No	#7CAE00
#7CAE00	0.582403600469909	0.138967842625623	Male.No	#7CAE00
#F8766D	0.289207187227227	0.200721183453094	Female.No	#F8766D
#7CAE00	0.796137759885327	0.367333095351403	Male.No	#7CAE00
#7CAE00	0.61082655064423	0.388344818641516	Male.No	#7CAE00
#F8766D	0.165245441465893	0.194719088941135	Female.No	#F8766D
#7CAE00	0.780548015016724	0.0959975295276804	Male.No	#7CAE00
#F8766D	0.335550275631249	0.424899117259139	Female.No	#F8766D
#7CAE00	0.710817322642966	0.239422319033606	Male.No	#7CAE00
#F8766D	0.225665027360347	0.296820792877539	Female.No	#F8766D
#7CAE00	0.696528491056101	0.127512126991695	Male.No	#7CAE00
#7CAE00	0.706105430779809	0.287902087311853	Male.No	#7CAE00
#F8766D	0.321055398999967	0.100367665883492	Female.No	#F8766D
#F8766D	0.202882026491517	0.33633987817236	Female.No	#F8766D
#7CAE00	0.604341434738175	0.279891396026042	Male.No	#7CAE00
#7CAE00	0.798874303190546	0.229519903998483	Male.No	#7CAE00
#7CAE00	0.635889853604815	0.147500615990297	Male.No	#7CAE00
#7CAE00	0.84604101179337	0.446631730703468	Male.No	#7CAE00
#7CAE00	0.595768627879972	0.225108965892683	Male.No	#7CAE00
#7CAE00	0.861618466421284	0.305730896747925	Male.No	#7CAE00
#F8766D	0.106005820699713	0.404632262970236	Female.No	#F8766D
