x,y,group,showSelected,PANEL
0.051890091357955,0.612247166036897,1,10-1,1
0.051890091357955,0.723382973994221,2,10-10,1
0.051890091357955,0.754501000222272,3,10-11,1
0.051890091357955,0.754501000222272,4,10-12,1
0.051890091357955,0.714492109357635,5,10-13,1
0.051890091357955,0.734496554789954,6,10-14,1
0.051890091357955,0.754501000222272,7,10-15,1
0.051890091357955,0.590020004445433,8,10-16,1
0.051890091357955,0.65447877306068,9,10-17,1
0.051890091357955,0.643365192264947,10,10-18,1
0.051890091357955,0.632251611469215,11,10-19,1
0.051890091357955,0.621138030673483,12,10-2,1
0.051890091357955,0.581129139808846,13,10-20,1
0.051890091357955,0.494443209602134,14,10-21,1
0.051890091357955,0.392198266281395,15,10-22,1
0.051890091357955,0.347743943098466,16,10-23,1
0.051890091357955,0.252167148255167,17,10-24,1
0.051890091357955,0.632251611469215,18,10-3,1
0.051890091357955,0.643365192264947,19,10-4,1
0.051890091357955,0.663369637697265,20,10-5,1
0.051890091357955,0.674483218492998,21,10-6,1
0.051890091357955,0.683374083129584,22,10-7,1
0.051890091357955,0.694487663925317,23,10-8,1
0.051890091357955,0.714492109357635,24,10-9,1
0.051890091357955,0.663369637697265,25,1-1,1
0.051890091357955,0.694487663925317,26,1-10,1
0.051890091357955,0.723382973994221,27,1-11,1
0.051890091357955,0.612247166036897,28,11-1,1
0.051890091357955,0.703378528561902,29,11-10,1
0.051890091357955,0.754501000222272,30,11-11,1
0.051890091357955,0.743387419426539,31,11-12,1
0.051890091357955,0.714492109357635,32,11-13,1
0.051890091357955,0.723382973994221,33,11-14,1
0.051890091357955,0.612247166036897,34,11-15,1
0.051890091357955,0.590020004445433,35,11-16,1
0.051890091357955,0.632251611469215,36,11-17,1
0.051890091357955,0.643365192264947,37,11-18,1
0.051890091357955,0.643365192264947,38,11-19,1
0.051890091357955,0.743387419426539,39,1-12,1
0.051890091357955,0.612247166036897,40,11-2,1
0.051890091357955,0.590020004445433,41,11-20,1
0.051890091357955,0.494443209602134,42,11-21,1
0.051890091357955,0.381084685485663,43,11-22,1
0.051890091357955,0.312180484552123,44,11-23,1
0.051890091357955,0.238830851300289,45,11-24,1
0.051890091357955,0.734496554789954,46,1-13,1
0.051890091357955,0.632251611469215,47,11-3,1
0.051890091357955,0.734496554789954,48,1-14,1
0.051890091357955,0.643365192264947,49,11-4,1
0.051890091357955,0.703378528561902,50,1-15,1
