alpha	x	y	density	level	piece
0.541	0.0454545454545455	0.0454545454545455	0.000238478851947045	1	1
0.6346	0.0546372819100092	0.0454545454545455	0.000288958677505006	1	1
0.721	0.0638200183654729	0.0454545454545455	0.000335610786385032	1	1
0.7912	0.0730027548209366	0.0454545454545455	0.000373923910838298	1	1
0.8398	0.0821854912764004	0.0454545454545455	0.000400025076001784	1	1
0.8596	0.0913682277318641	0.0454545454545455	0.000411382121902041	1	1
0.8524	0.100550964187328	0.0454545454545455	0.000407243755284482	1	1
0.8182	0.109733700642792	0.0454545454545455	0.000388703805341482	1	1
0.7624	0.118916437098255	0.0454545454545455	0.000358389619958977	1	1
0.6922	0.128099173553719	0.0454545454545455	0.000319882946881534	1	1
0.613	0.137281910009183	0.0454545454545455	0.000277044948929288	1	1
0.532	0.146464646464646	0.0454545454545455	0.000233416829721887	1	1
0.4546	0.15564738292011	0.0454545454545455	0.000191813443687553	1	1
0.3844	0.164830119375574	0.0454545454545455	0.000154148629378173	1	1
0.325	0.174012855831038	0.0454545454545455	0.000121460854284687	1	1
0.2746	0.183195592286501	0.0454545454545455	9.40678502055169e-05	1	1
0.2332	0.192378328741965	0.0454545454545455	7.17733570860918e-05	1	1
0.2008	0.201561065197429	0.0454545454545455	5.40676357354936e-05	1	1
0.1738	0.210743801652893	0.0454545454545455	4.02903462405161e-05	1	1
0.1558	0.219926538108356	0.0454545454545455	2.97470894576271e-05	1	1
0.1396	0.22910927456382	0.0454545454545455	2.17839687034167e-05	1	1
0.1288	0.238292011019284	0.0454545454545455	1.58289803844012e-05	1	1
0.1216	0.247474747474747	0.0454545454545455	1.14088469781431e-05	1	1
0.1144	0.256657483930211	0.0454545454545455	8.14857840075799e-06	1	1
0.1108	0.265840220385675	0.0454545454545455	5.76012268128772e-06	1	1
0.1072	0.275022956841139	0.0454545454545455	4.02582244911532e-06	1	1
0.1054	0.284205693296602	0.0454545454545455	2.78139870827299e-06	1	1
0.1036	0.293388429752066	0.0454545454545455	1.90159196806645e-06	1	1
0.1018	0.30257116620753	0.0454545454545455	1.28973293724414e-06	1	1
0.1018	0.311753902662994	0.0454545454545455	8.70963578608117e-07	1	1
0.1018	0.320936639118457	0.0454545454545455	5.87982635033838e-07	1	1
0.1	0.330119375573921	0.0454545454545455	3.98079562042892e-07	1	1
0.1	0.339302112029385	0.0454545454545455	2.70588655066125e-07	1	1
0.1	0.348484848484848	0.0454545454545455	1.84397497995293e-07	1	1
0.1	0.357667584940312	0.0454545454545455	1.25527116994875e-07	1	1
0.1	0.366850321395776	0.0454545454545455	8.49692544894134e-08	1	1
0.1	0.37603305785124	0.0454545454545455	5.69517309300186e-08	1	1
0.1	0.385215794306703	0.0454545454545455	3.76971066260908e-08	1	1
0.1	0.394398530762167	0.0454545454545455	2.4629242758699e-08	1	1
0.1	0.403581267217631	0.0454545454545455	1.59160312751486e-08	1	1
0.1	0.412764003673095	0.0454545454545455	1.02236629865226e-08	1	1
0.1	0.421946740128558	0.0454545454545455	6.58205729659005e-09	1	1
0.1	0.431129476584022	0.0454545454545455	4.29890198035339e-09	1	1
0.1	0.440312213039486	0.0454545454545455	2.89301028054102e-09	1	1
0.1	0.449494949494949	0.0454545454545455	2.03836387422059e-09	1	1
0.1	0.458677685950413	0.0454545454545455	1.51870901746304e-09	1	1
0.1	0.467860422405877	0.0454545454545455	1.19349226661049e-09	1	1
0.1	0.477043158861341	0.0454545454545455	9.74089852883586e-10	1	1
0.1	0.486225895316804	0.0454545454545455	8.07740049343982e-10	1	1
0.1	0.495408631772268	0.0454545454545455	6.66339916399535e-10	1	1
0.1	0.504591368227732	0.0454545454545455	5.38025357987604e-10	1	1
0.1	0.513774104683196	0.0454545454545455	4.2050287111365e-10	1	1
0.1	0.522956841138659	0.0454545454545455	3.15884880915002e-10	1	1
0.1	0.532139577594123	0.0454545454545455	2.2709449509599e-10	1	1
0.1	0.541322314049587	0.0454545454545455	1.55838828906586e-10	1	1
0.1	0.55050505050505	0.0454545454545455	1.01921168462044e-10	1	1
0.1	0.559687786960514	0.0454545454545455	6.34706194905927e-11	1	1
0.1	0.568870523415978	0.0454545454545455	3.76150658576061e-11	1	1
0.1	0.578053259871442	0.0454545454545455	2.12074448407125e-11	1	1
0.1	0.587235996326905	0.0454545454545455	1.13727599688047e-11	1	1
0.1	0.596418732782369	0.0454545454545455	5.80018918472506e-12	1	1
0.1	0.605601469237833	0.0454545454545455	2.8131045643781e-12	1	1
0.1	0.614784205693297	0.0454545454545455	1.29741545973364e-12	1	1
0.1	0.62396694214876	0.0454545454545455	5.69001297926425e-13	1	1
0.1	0.633149678604224	0.0454545454545455	2.37294794938813e-13	1	1
0.1	0.642332415059688	0.0454545454545455	9.41051554345261e-14	1	1
0.1	0.651515151515152	0.0454545454545455	3.54906057262708e-14	1	1
0.1	0.660697887970615	0.0454545454545455	1.27303566083409e-14	1	1
0.1	0.669880624426079	0.0454545454545455	4.34414362542583e-15	1	1
0.1	0.679063360881543	0.0454545454545455	1.41103580839021e-15	1	1
0.1	0.688246097337006	0.0454545454545455	4.36780091721613e-16	1	1
0.1	0.69742883379247	0.0454545454545455	1.2920695780828e-16	1	1
0.1	0.706611570247934	0.0454545454545455	3.67695346806515e-17	1	1
0.1	0.715794306703398	0.0454545454545455	1.0227055971851e-17	1	1
0.1	0.724977043158861	0.0454545454545455	2.88126950851456e-18	1	1
0.1	0.734159779614325	0.0454545454545455	8.79276036786285e-19	1	1
0.1	0.743342516069789	0.0454545454545455	3.15285793234598e-19	1	1
0.1	0.752525252525253	0.0454545454545455	1.36486021839328e-19	1	1
0.1	0.761707988980716	0.0454545454545455	6.73717272464895e-20	1	1
0.1	0.77089072543618	0.0454545454545455	3.50803497029417e-20	1	1
0.1	0.780073461891644	0.0454545454545455	1.83307523416153e-20	1	1
0.1	0.789256198347107	0.0454545454545455	9.39429236245141e-21	1	1
