alpha,x,y,density,group,level,piece,PANEL
0.6436,0.0454545454545455,0.0454545454545455,0.000299604946967984,1,1,1,1
0.7192,0.0546372819100092,0.0454545454545455,0.000340798741626533,1,1,1,1
0.784,0.0638200183654729,0.0454545454545455,0.00037671529105221,1,1,1,1
0.8362,0.0730027548209367,0.0454545454545455,0.00040490796941692,1,1,1,1
0.8704,0.0821854912764004,0.0454545454545455,0.000423486642761419,1,1,1,1
0.883,0.0913682277318641,0.0454545454545455,0.000431354311959477,1,1,1,1
0.8776,0.100550964187328,0.0454545454545455,0.000428326748355298,1,1,1,1
0.8542,0.109733700642792,0.0454545454545455,0.000415114906509817,1,1,1,1
0.8146,0.118916437098255,0.0454545454545455,0.000393179371231248,1,1,1,1
0.7624,0.128099173553719,0.0454545454545455,0.000364492251060409,1,1,1,1
0.7012,0.137281910009183,0.0454545454545455,0.000331257864499853,1,1,1,1
0.6364,0.146464646464646,0.0454545454545455,0.000295645796560571,1,1,1,1
0.5716,0.15564738292011,0.0454545454545455,0.000259579273247246,1,1,1,1
0.5086,0.164830119375574,0.0454545454545455,0.000224602817772238,1,1,1,1
0.4492,0.174012855831038,0.0454545454545455,0.000191832139248183,1,1,1,1
0.3952,0.183195592286501,0.0454545454545455,0.000161972059151983,1,1,1,1
0.3466,0.192378328741965,0.0454545454545455,0.000135378685977241,1,1,1,1
0.3034,0.201561065197429,0.0454545454545455,0.000112140718730367,1,1,1,1
0.2674,0.210743801652893,0.0454545454545455,9.21598208559305e-05,1,1,1,1
0.2368,0.219926538108356,0.0454545454545455,7.52181722384798e-05,1,1,1,1
0.2116,0.22910927456382,0.0454545454545455,6.10292835460791e-05,1,1,1,1
0.19,0.238292011019284,0.0454545454545455,4.92737178109795e-05,1,1,1,1
0.172,0.247474747474747,0.0454545454545455,3.96237855924696e-05,1,1,1,1
0.1576,0.256657483930211,0.0454545454545455,3.17611302139589e-05,1,1,1,1
0.1468,0.265840220385675,0.0454545454545455,2.53896405785973e-05,1,1,1,1
