colour	fill	x	y	group
#7CAE00	#7CAE00	0.645657526284811	0.577199496797577	5
#C77CFF	#C77CFF	0.313712594454132	0.244491192870398	3
#7CAE00	#7CAE00	0.585317794632699	0.464644956707816	5
#00BFC4	#00BFC4	0.409783781461773	0.484482843551371	2
#00BFC4	#00BFC4	0.326026934332081	0.381499518522994	2
#C77CFF	#C77CFF	0.148983596158879	0.0454545454545454	1
#F8766D	#F8766D	0.665230279788375	0.582149253577462	4
#00BFC4	#00BFC4	0.290329754796057	0.419888212443618	2
#C77CFF	#C77CFF	0.287320748681114	0.260201651618639	3
#7CAE00	#7CAE00	0.536979763679916	0.487177938878813	5
#F8766D	#F8766D	0.826347361141373	0.893262242097408	7
#F8766D	#F8766D	0.561080056952224	0.592912553442061	4
#00BFC4	#00BFC4	0.401191266652729	0.33464696975234	2
#7CAE00	#7CAE00	0.538176282929878	0.46533027979562	5
#F8766D	#F8766D	0.874191433989576	0.758263606733229	7
#7CAE00	#7CAE00	0.557347666516545	0.60111031785373	5
#00BFC4	#00BFC4	0.475991187084999	0.34076392779401	2
#C77CFF	#C77CFF	0.0562311264996727	0.2018155981253	1
#7CAE00	#7CAE00	0.6293224935819	0.452481361580226	5
#F8766D	#F8766D	0.776623642870358	0.954545454545454	7
#7CAE00	#7CAE00	0.696191691305666	0.580115350753596	5
#F8766D	#F8766D	0.803300888188893	0.674854000635162	7
#7CAE00	#7CAE00	0.612992998656063	0.499520197447752	5
#7CAE00	#7CAE00	0.68633142508389	0.558602333919805	5
#F8766D	#F8766D	0.559814929962158	0.611394937461989	4
#C77CFF	#C77CFF	0.346103050213839	0.252381822549212	3
#F8766D	#F8766D	0.614387703970784	0.584712834668484	4
#C77CFF	#C77CFF	0.428923959799466	0.26586810899925	3
#F8766D	#F8766D	0.900574369666477	0.76822493969178	7
#7CAE00	#7CAE00	0.712220029018465	0.530525288485101	5
#00BFC4	#00BFC4	0.376029262673997	0.309105014761153	2
#7CAE00	#7CAE00	0.544240692896502	0.466069532005919	5
#00BFC4	#00BFC4	0.450289803645795	0.346327669283049	2
#7CAE00	#7CAE00	0.693143255254697	0.610098244451341	5
#C77CFF	#C77CFF	0.206962637248493	0.0986300874225107	1
#F8766D	#F8766D	0.676551020792907	0.556273222029851	4
#7CAE00	#7CAE00	0.585404178260693	0.56378436335451	5
#00BFC4	#00BFC4	0.422299422589796	0.281054682423807	2
#C77CFF	#C77CFF	0.448161303376158	0.374405268203859	3
#F8766D	#F8766D	0.531937688500399	0.737849014083646	4
#7CAE00	#7CAE00	0.636621515976176	0.53294287862123	5
#C77CFF	#C77CFF	0.375408278911242	0.222817826728166	3
#F8766D	#F8766D	0.768277807693396	0.733771860369844	7
#7CAE00	#7CAE00	0.566086320428266	0.57412879319634	5
#00BFC4	#00BFC4	0.454142189141186	0.315529640865914	2
#7CAE00	#7CAE00	0.617359208430918	0.498221449469359	5
#F8766D	#F8766D	0.861018988969071	0.732270008064213	7
#F8766D	#F8766D	0.921486149586383	0.790263951759636	7
#C77CFF	#C77CFF	0.194721461140684	0.0819444348685346	1
#7CAE00	#7CAE00	0.673069977733706	0.559425544929734	5
#F8766D	#F8766D	0.775395782398326	0.726568692705228	7
#7CAE00	#7CAE00	0.695453198848381	0.571598806291947	5
#F8766D	#F8766D	0.805406308910322	0.766114571309713	7
#00BFC4	#00BFC4	0.470709423800664	0.344202350854046	2
#00BFC4	#00BFC4	0.315794519991392	0.40728837222234	2
#7CAE00	#7CAE00	0.592558985442988	0.582843772436135	5
#00BFC4	#00BFC4	0.376234501955055	0.380577950094106	2
#00BFC4	#00BFC4	0.632207203612086	0.439028733615263	6
#00BFC4	#00BFC4	0.347870819714098	0.366615595050726	2
#00BFC4	#00BFC4	0.304715628868767	0.326039589284247	2
#C77CFF	#C77CFF	0.305369529695738	0.314836931224632	3
#7CAE00	#7CAE00	0.63102853475582	0.439644896703698	5
#C77CFF	#C77CFF	0.302576118414956	0.208034362220854	3
#7CAE00	#7CAE00	0.627333401303206	0.472530266088208	5
#00BFC4	#00BFC4	0.460447902835551	0.313134872568597	2
#7CAE00	#7CAE00	0.711438857063296	0.557118544658739	5
#C77CFF	#C77CFF	0.421292046750231	0.270458810404085	3
#7CAE00	#7CAE00	0.560294480861298	0.52394191529589	5
#00BFC4	#00BFC4	0.665189354015248	0.425087765983113	6
#00BFC4	#00BFC4	0.294011088797734	0.340301289804656	2
#00BFC4	#00BFC4	0.316677520982921	0.41153602906034	2
#F8766D	#F8766D	0.580635730798046	0.675386363494275	4
#F8766D	#F8766D	0.560405543384453	0.706234889973095	4
#C77CFF	#C77CFF	0.0990424997927178	0.157690836825506	1
#C77CFF	#C77CFF	0.3694402791471	0.349921944989999	3
#00BFC4	#00BFC4	0.433885425994439	0.414785980809584	2
#F8766D	#F8766D	0.829714150522791	0.718599558149227	7
#C77CFF	#C77CFF	0.391833415210602	0.307521831735207	3
#7CAE00	#7CAE00	0.684249701155793	0.47040812059846	5
#F8766D	#F8766D	0.660435361965072	0.647479143346651	4
#00BFC4	#00BFC4	0.586842836324303	0.4172008885264	6
#C77CFF	#C77CFF	0.218109666192461	0.21357292414096	1
#00BFC4	#00BFC4	0.394909454553965	0.37671763200042	2
#F8766D	#F8766D	0.843285130469927	0.891237097068121	7
#C77CFF	#C77CFF	0.439710305781946	0.329581408974977	3
#C77CFF	#C77CFF	0.228998341996755	0.129145578815397	1
#F8766D	#F8766D	0.615184020960615	0.574780913874787	4
#F8766D	#F8766D	0.70145098292934	0.573610759377865	4
#7CAE00	#7CAE00	0.539772520684416	0.435598109451868	5
#C77CFF	#C77CFF	0.150025682656893	0.149201972752342	1
#00BFC4	#00BFC4	0.428549285667638	0.320523751460645	2
#00BFC4	#00BFC4	0.348377698943729	0.417147035177724	2
#00BFC4	#00BFC4	0.44790904050959	0.380782306129926	2
#C77CFF	#C77CFF	0.171316896653956	0.171570907364804	1
#C77CFF	#C77CFF	0.309538464771495	0.295906367834167	3
#F8766D	#F8766D	0.777494473294133	0.73535906162087	7
#C77CFF	#C77CFF	0.333387035033887	0.180903335393766	3
