alpha	colour	x	y	group
0.2388	#244E72	0.0454545454545455	0.270047982395459	1
0.2388	#244E72	0.146464646464646	0.291393405181623	1
0.2388	#244E72	0.247474747474748	0.31438712000861	1
0.2388	#244E72	0.348484848484849	0.355839982359263	1
0.2388	#244E72	0.44949494949495	0.359111288273015	1
0.2388	#244E72	0.550505050505051	0.39054816172806	1
0.2388	#244E72	0.651515151515152	0.430295026790305	1
0.2388	#244E72	0.752525252525253	0.444515968517151	1
0.2388	#244E72	0.853535353535354	0.472312095472497	1
0.2388	#244E72	0.954545454545455	0.490585191441733	1
0.1992	#234A6D	0.0454545454545455	0.206090766073176	2
0.1992	#234A6D	0.146464646464646	0.231150944608871	2
0.1992	#234A6D	0.247474747474748	0.250176276693659	2
0.1992	#234A6D	0.348484848484849	0.280972656840233	2
0.1992	#234A6D	0.44949494949495	0.309769895689343	2
0.1992	#234A6D	0.550505050505051	0.356089105485116	2
0.1992	#234A6D	0.651515151515152	0.388595395609785	2
0.1992	#234A6D	0.752525252525253	0.413813591703709	2
0.1992	#234A6D	0.853535353535354	0.424951062937774	2
0.1992	#234A6D	0.954545454545455	0.471455402059592	2
0.1776	#204667	0.0454545454545455	0.171356515518797	3
0.1776	#204667	0.146464646464646	0.201262637508737	3
0.1776	#204667	0.247474747474748	0.238386241566204	3
0.1776	#204667	0.348484848484849	0.254553373042114	3
0.1776	#204667	0.44949494949495	0.291003211067222	3
0.1776	#204667	0.550505050505051	0.330212194648006	3
0.1776	#204667	0.651515151515152	0.351182153789305	3
0.1776	#204667	0.752525252525253	0.371267387610879	3
0.1776	#204667	0.853535353535354	0.424264329140915	3
0.1776	#204667	0.954545454545455	0.448747928733118	3
0.2292	#275379	0.0454545454545455	0.254371141793709	4
0.2292	#275379	0.146464646464646	0.315150734553922	4
0.2292	#275379	0.247474747474748	0.346171508423817	4
0.2292	#275379	0.348484848484849	0.363096772816347	4
0.2292	#275379	0.44949494949495	0.384934686285063	4
0.2292	#275379	0.550505050505051	0.403146393749943	4
0.2292	#275379	0.651515151515152	0.448046099068998	4
0.2292	#275379	0.752525252525253	0.479675506787083	4
0.2292	#275379	0.853535353535354	0.493857925168913	4
0.2292	#275379	0.954545454545455	0.515164187488659	4
0.258	#326A98	0.0454545454545455	0.301242638703137	5
0.258	#326A98	0.146464646464646	0.334796131531574	5
0.258	#326A98	0.247474747474748	0.363720377785801	5
0.258	#326A98	0.348484848484849	0.384945713414893	5
0.258	#326A98	0.44949494949495	0.430631920896523	5
0.258	#326A98	0.550505050505051	0.474514366833573	5
0.258	#326A98	0.651515151515152	0.505013028416719	5
0.258	#326A98	0.752525252525253	0.547639157822919	5
0.258	#326A98	0.853535353535354	0.575581239243574	5
0.258	#326A98	0.954545454545455	0.62901212530701	5
0.1932	#326A98	0.0454545454545455	0.196539773607083	6
0.1932	#326A98	0.146464646464646	0.226516197713643	6
0.1932	#326A98	0.247474747474748	0.285141858026997	6
0.1932	#326A98	0.348484848484849	0.329922441693614	6
0.1932	#326A98	0.44949494949495	0.369148791654855	6
0.1932	#326A98	0.550505050505051	0.420238292044937	6
0.1932	#326A98	0.651515151515152	0.480264042387513	6
0.1932	#326A98	0.752525252525253	0.523661604700912	6
0.1932	#326A98	0.853535353535354	0.575366271789445	6
0.1932	#326A98	0.954545454545455	0.628793924442171	6
0.1992	#3E81B7	0.0454545454545455	0.206077618000863	7
0.1992	#3E81B7	0.146464646464646	0.278016568399911	7
0.1992	#3E81B7	0.247474747474748	0.330989181506688	7
0.1992	#3E81B7	0.348484848484849	0.381595407918519	7
0.1992	#3E81B7	0.44949494949495	0.452929402955249	7
0.1992	#3E81B7	0.550505050505051	0.505448591246958	7
0.1992	#3E81B7	0.651515151515152	0.570487229762385	7
0.1992	#3E81B7	0.752525252525253	0.60627982721701	7
0.1992	#3E81B7	0.853535353535354	0.678148856989384	7
0.1992	#3E81B7	0.954545454545455	0.740442979538737	7
0.1748	#336A98	0.0454545454545455	0.166856587210819	8
0.1748	#336A98	0.146464646464646	0.191881468656294	8
0.1748	#336A98	0.247474747474748	0.243030022639939	8
0.1748	#336A98	0.348484848484849	0.317981427600852	8
0.1748	#336A98	0.44949494949495	0.372796730610409	8
0.1748	#336A98	0.550505050505051	0.422308644756247	8
0.1748	#336A98	0.651515151515152	0.47280362723625	8
0.1748	#336A98	0.752525252525253	0.557094601738481	8
0.1748	#336A98	0.853535353535354	0.601631601037696	8
0.1748	#336A98	0.954545454545455	0.631119829389557	8
0.1732	#1C3D5C	0.0454545454545455	0.16377486504885	9
0.1732	#1C3D5C	0.146464646464646	0.18787155888582	9
0.1732	#1C3D5C	0.247474747474748	0.216154555332848	9
