alpha,linetype,x,y,group,PANEL
0.2112,solid,0.0454545454545455,0.201017483504743,1,1
0.2112,solid,0.146464646464646,0.215310677509976,1,1
0.2112,solid,0.247474747474748,0.247388875508374,1,1
0.2112,solid,0.348484848484849,0.299767449510747,1,1
0.2112,solid,0.44949494949495,0.310038416431863,1,1
0.2112,solid,0.550505050505051,0.345927947965241,1,1
0.2112,solid,0.651515151515152,0.370891518395812,1,1
0.2112,solid,0.752525252525253,0.413024150949101,1,1
0.2112,solid,0.853535353535354,0.465469641391078,1,1
0.2112,solid,0.954545454545455,0.479325575771452,1,1
0.26,solid,0.0454545454545455,0.251238318924942,2,1
0.26,solid,0.146464646464646,0.242197515509796,2,1
0.26,solid,0.247474747474748,0.313656915042537,2,1
0.26,solid,0.348484848484849,0.34794529287794,2,1
0.26,solid,0.44949494949495,0.366196744396716,2,1
0.26,solid,0.550505050505051,0.411302596280637,2,1
0.26,solid,0.651515151515152,0.451564994922286,2,1
0.26,solid,0.752525252525253,0.475797903400431,2,1
0.26,solid,0.853535353535354,0.522054610966694,2,1
0.26,solid,0.954545454545455,0.559759206717643,2,1
0.3128,solid,0.0454545454545455,0.257749752896559,3,1
0.3128,solid,0.146464646464646,0.306509639701716,3,1
0.3128,solid,0.247474747474748,0.337915551011229,3,1
0.3128,solid,0.348484848484849,0.372716636805119,3,1
0.3128,solid,0.44949494949495,0.44950458844732,3,1
0.3128,solid,0.550505050505051,0.491203880263774,3,1
0.3128,solid,0.651515151515152,0.52717793103092,3,1
0.3128,solid,0.752525252525253,0.589491628719144,3,1
0.3128,solid,0.853535353535354,0.620723415671843,3,1
0.3128,solid,0.954545454545455,0.646966728262383,3,1
0.208,solid,0.0454545454545455,0.152474710830255,4,1
0.208,solid,0.146464646464646,0.18872710394893,4,1
0.208,solid,0.247474747474748,0.208485524086672,4,1
0.208,solid,0.348484848484849,0.253230271621418,4,1
0.208,solid,0.44949494949495,0.289638000506361,4,1
0.208,solid,0.550505050505051,0.322048320164739,4,1
0.208,solid,0.651515151515152,0.341204852175526,4,1
0.208,solid,0.752525252525253,0.39953421734356,4,1
0.208,solid,0.853535353535354,0.41781416325296,4,1
0.208,solid,0.954545454545455,0.474523361550614,4,1
0.3544,solid,0.0454545454545455,0.23875012777102,5,1
0.3544,solid,0.146464646464646,0.27868382295208,5,1
0.3544,solid,0.247474747474748,0.325722140113925,5,1
0.3544,solid,0.348484848484849,0.397662030176664,5,1
0.3544,solid,0.44949494949495,0.447997854822328,5,1
0.3544,solid,0.550505050505051,0.516783689983079,5,1
0.3544,solid,0.651515151515152,0.573476073046423,5,1
0.3544,solid,0.752525252525253,0.630119133322813,5,1
0.3544,solid,0.853535353535354,0.689467643382691,5,1
0.3544,solid,0.954545454545455,0.715012973959669,5,1
0.3408,solid,0.0454545454545455,0.20073429526317,6,1
0.3408,solid,0.146464646464646,0.269232128593067,6,1
0.3408,solid,0.247474747474748,0.316658746800198,6,1
0.3408,solid,0.348484848484849,0.389638311637925,6,1
0.3408,solid,0.44949494949495,0.412613949018944,6,1
0.3408,solid,0.550505050505051,0.475260611056348,6,1
0.3408,solid,0.651515151515152,0.535219890046349,6,1
0.3408,solid,0.752525252525253,0.617190294312232,6,1
0.3408,solid,0.853535353535354,0.658150304509406,6,1
0.3408,solid,0.954545454545455,0.693194099123397,6,1
0.3344,solid,0.0454545454545455,0.196978509487244,7,1
0.3344,solid,0.146464646464646,0.240292337906697,7,1
0.3344,solid,0.247474747474748,0.305012552778157,7,1
0.3344,solid,0.348484848484849,0.3591218795694,7,1
0.3344,solid,0.44949494949495,0.403541774644136,7,1
0.3344,solid,0.550505050505051,0.468536415285535,7,1
0.3344,solid,0.651515151515152,0.494251159352437,7,1
0.3344,solid,0.752525252525253,0.568753561598264,7,1
0.3344,solid,0.853535353535354,0.627680223707399,7,1
0.3344,solid,0.954545454545455,0.682326304069383,7,1
0.4528,solid,0.0454545454545455,0.211003501809929,8,1
0.4528,solid,0.146464646464646,0.277782326743046,8,1
0.4528,solid,0.247474747474748,0.352550147947703,8,1
0.4528,solid,0.348484848484849,0.430712186398797,8,1
0.4528,solid,0.44949494949495,0.511215087594233,8,1
0.4528,solid,0.550505050505051,0.564387612219506,8,1
0.4528,solid,0.651515151515152,0.66111909803724,8,1
0.4528,solid,0.752525252525253,0.738987648467803,8,1
0.4528,solid,0.853535353535354,0.81007233292902,8,1
0.4528,solid,0.954545454545455,0.87659951462665,8,1
0.336,solid,0.0454545454545455,0.229404641877412,9,1
0.336,solid,0.146464646464646,0.265316596257705,9,1
0.336,solid,0.247474747474748,0.312965806610694,9,1
0.336,solid,0.348484848484849,0.374992786115505,9,1
0.336,solid,0.44949494949495,0.44611740611866,9,1
0.336,solid,0.550505050505051,0.462309374011959,9,1
0.336,solid,0.651515151515152,0.520494956893811,9,1
0.336,solid,0.752525252525253,0.587554064895252,9,1
0.336,solid,0.853535353535354,0.630248726766678,9,1
0.336,solid,0.954545454545455,0.684392984905352,9,1
0.2816,22,0.0454545454545455,0.128250004921005,10,1
0.2816,22,0.146464646464646,0.165754358944833,10,1
0.2816,22,0.247474747474748,0.235473542363648,10,1
0.2816,22,0.348484848484849,0.287653224639505,10,1
0.2816,22,0.44949494949495,0.324384369956482,10,1
0.2816,22,0.550505050505051,0.383234860590091,10,1
0.2816,22,0.651515151515152,0.40502915311175,10,1
0.2816,22,0.752525252525253,0.464573799102787,10,1
0.2816,22,0.853535353535354,0.540518029899295,10,1
0.2816,22,0.954545454545455,0.595754018651962,10,1
0.3128,solid,0.0454545454545455,0.184985111769085,11,1
0.3128,solid,0.146464646464646,0.246547715238475,11,1
0.3128,solid,0.247474747474748,0.289230425339714,11,1
0.3128,solid,0.348484848484849,0.35369794698052,11,1
0.3128,solid,0.44949494949495,0.378848063161878,11,1
0.3128,solid,0.550505050505051,0.444362062610133,11,1
0.3128,solid,0.651515151515152,0.506602787407117,11,1
0.3128,solid,0.752525252525253,0.540175378031629,11,1
0.3128,solid,0.853535353535354,0.594847485075041,11,1
0.3128,solid,0.954545454545455,0.646447663889448,11,1
0.2696,solid,0.0454545454545455,0.20896623320308,12,1
0.2696,solid,0.146464646464646,0.257652467707903,12,1
0.2696,solid,0.247474747474748,0.285268234204918,12,1
0.2696,solid,0.348484848484849,0.323997842963376,12,1
0.2696,solid,0.44949494949495,0.370543567818897,12,1
0.2696,solid,0.550505050505051,0.410471779173323,12,1
0.2696,solid,0.651515151515152,0.460840370402575,12,1
0.2696,solid,0.752525252525253,0.503142131577007,12,1
0.2696,solid,0.853535353535354,0.549676486650379,12,1
0.2696,solid,0.954545454545455,0.575346549193414,12,1
0.3528,solid,0.0454545454545455,0.212175873655545,13,1
0.3528,solid,0.146464646464646,0.27424898822374,13,1
0.3528,solid,0.247474747474748,0.329181784801555,13,1
0.3528,solid,0.348484848484849,0.388169724445676,13,1
0.3528,solid,0.44949494949495,0.4533388751944,13,1
0.3528,solid,0.550505050505051,0.487850197593252,13,1
0.3528,solid,0.651515151515152,0.532232375502703,13,1
0.3528,solid,0.752525252525253,0.597280688699788,13,1
0.3528,solid,0.853535353535354,0.661749927057285,13,1
0.3528,solid,0.954545454545455,0.71288922230766,13,1
0.2544,solid,0.0454545454545455,0.19345160213946,14,1
0.2544,solid,0.146464646464646,0.204545121479617,14,1
0.2544,solid,0.247474747474748,0.235609831229682,14,1
0.2544,solid,0.348484848484849,0.321111279549896,14,1
0.2544,solid,0.44949494949495,0.352239933728233,14,1
0.2544,solid,0.550505050505051,0.400690788714576,14,1
0.2544,solid,0.651515151515152,0.457169985894099,14,1
0.2544,solid,0.752525252525253,0.461838041243603,14,1
0.2544,solid,0.853535353535354,0.510844933196993,14,1
0.2544,solid,0.954545454545455,0.551114924790931,14,1
0.2584,solid,0.0454545454545455,0.166162177496259,15,1
0.2584,solid,0.146464646464646,0.199018202383281,15,1
0.2584,solid,0.247474747474748,0.256367943150013,15,1
0.2584,solid,0.348484848484849,0.292964296078133,15,1
0.2584,solid,0.44949494949495,0.334970798220268,15,1
0.2584,solid,0.550505050505051,0.387173515251601,15,1
0.2584,solid,0.651515151515152,0.44556290299629,15,1
0.2584,solid,0.752525252525253,0.451053331768832,15,1
0.2584,solid,0.853535353535354,0.525342363615993,15,1
0.2584,solid,0.954545454545455,0.556982987593913,15,1
0.2792,solid,0.0454545454545455,0.203183785535705,16,1
0.2792,solid,0.146464646464646,0.233124969072663,16,1
0.2792,solid,0.247474747474748,0.29635002572381,16,1
0.2792,solid,0.348484848484849,0.325133157022839,16,1
0.2792,solid,0.44949494949495,0.381036622549463,16,1
0.2792,solid,0.550505050505051,0.425800934671148,16,1
0.2792,solid,0.651515151515152,0.446997180566592,16,1
0.2792,solid,0.752525252525253,0.502939909860234,16,1
0.2792,solid,0.853535353535354,0.533896827397592,16,1
0.2792,solid,0.954545454545455,0.591884180074184,16,1
0.22,solid,0.0454545454545455,0.155584521503201,17,1
0.22,solid,0.146464646464646,0.213851660022185,17,1
0.22,solid,0.247474747474748,0.232639809110573,17,1
0.22,solid,0.348484848484849,0.286632667628585,17,1
0.22,solid,0.44949494949495,0.309617805799034,17,1
0.22,solid,0.550505050505051,0.345083757124992,17,1
0.22,solid,0.651515151515152,0.379783159873926,17,1
0.22,solid,0.752525252525253,0.400434023025225,17,1
0.22,solid,0.853535353535354,0.4586530653827,17,1
0.22,solid,0.954545454545455,0.4936383267791,17,1
0.2808,solid,0.0454545454545455,0.213863158675503,18,1
0.2808,solid,0.146464646464646,0.242506141015032,18,1
0.2808,solid,0.247474747474748,0.281161632096887,18,1
0.2808,solid,0.348484848484849,0.323640450087956,18,1
0.2808,solid,0.44949494949495,0.367294735714546,18,1
0.2808,solid,0.550505050505051,0.392609724913828,18,1
0.2808,solid,0.651515151515152,0.456311719414072,18,1
0.2808,solid,0.752525252525253,0.500899064188514,18,1
0.2808,solid,0.853535353535354,0.53344065126196,18,1
0.2808,solid,0.954545454545455,0.593738601558842,18,1
0.3136,solid,0.0454545454545455,0.172632569807984,19,1
0.3136,solid,0.146464646464646,0.247842334008583,19,1
0.3136,solid,0.247474747474748,0.255001207908256,19,1
0.3136,solid,0.348484848484849,0.328663342431622,19,1
0.3136,solid,0.44949494949495,0.368174997069756,19,1
0.3136,solid,0.550505050505051,0.423609667122614,19,1
0.3136,solid,0.651515151515152,0.466916499894422,19,1
0.3136,solid,0.752525252525253,0.529820534151617,19,1
0.3136,solid,0.853535353535354,0.579139800222201,19,1
0.3136,solid,0.954545454545455,0.647991155260676,19,1
0.416,solid,0.0454545454545455,0.221819925942312,20,1
0.416,solid,0.146464646464646,0.279939047708577,20,1
0.416,solid,0.247474747474748,0.342896106705093,20,1
0.416,solid,0.348484848484849,0.433603069913012,20,1
0.416,solid,0.44949494949495,0.468828920610379,20,1
0.416,solid,0.550505050505051,0.533568553525426,20,1
0.416,solid,0.651515151515152,0.620173617264953,20,1
0.416,solid,0.752525252525253,0.682893343775875,20,1
0.416,solid,0.853535353535354,0.711985975082782,20,1
0.416,solid,0.954545454545455,0.81700112750209,20,1
0.1,22,0.0454545454545455,0.0454545454545454,21,1
0.1,22,0.146464646464646,0.0756827851182249,21,1
0.1,22,0.247474747474748,0.10861538637093,21,1
0.1,22,0.348484848484849,0.117078812604544,21,1
0.1,22,0.44949494949495,0.160495003085395,21,1
0.1,22,0.550505050505051,0.189908434994061,21,1
0.1,22,0.651515151515152,0.209129514825247,21,1
0.1,22,0.752525252525253,0.242182021393123,21,1
0.1,22,0.853535353535354,0.273198794831611,21,1
0.1,22,0.954545454545455,0.296834721236306,21,1
0.3896,solid,0.0454545454545455,0.225144298419861,22,1
0.3896,solid,0.146464646464646,0.263540845714,22,1
0.3896,solid,0.247474747474748,0.339960663912568,22,1
0.3896,solid,0.348484848484849,0.391803939523913,22,1
0.3896,solid,0.44949494949495,0.440831654900503,22,1
0.3896,solid,0.550505050505051,0.533289216766711,22,1
0.3896,solid,0.651515151515152,0.588995308827788,22,1
0.3896,solid,0.752525252525253,0.649970324202778,22,1
0.3896,solid,0.853535353535354,0.696707827557115,22,1
0.3896,solid,0.954545454545455,0.772541332501614,22,1
0.2872,solid,0.0454545454545455,0.225208938681048,23,1
0.2872,solid,0.146464646464646,0.266323217929559,23,1
0.2872,solid,0.247474747474748,0.295480953392884,23,1
0.2872,solid,0.348484848484849,0.339055425506741,23,1
0.2872,solid,0.44949494949495,0.383042221202837,23,1
0.2872,solid,0.550505050505051,0.433260783380149,23,1
0.2872,solid,0.651515151515152,0.464944171172059,23,1
0.2872,solid,0.752525252525253,0.517518966938053,23,1
0.2872,solid,0.853535353535354,0.547683318210463,23,1
0.2872,solid,0.954545454545455,0.605089051779415,23,1
0.3592,solid,0.0454545454545455,0.247452561964892,24,1
0.3592,solid,0.146464646464646,0.296497937214645,24,1
0.3592,solid,0.247474747474748,0.326843802572078,24,1
0.3592,solid,0.348484848484849,0.370627874269122,24,1
0.3592,solid,0.44949494949495,0.435345374093546,24,1
0.3592,solid,0.550505050505051,0.499031512183269,24,1
0.3592,solid,0.651515151515152,0.568123472327804,24,1
0.3592,solid,0.752525252525253,0.602563238327234,24,1
