alpha	linetype	x	y	group
0.34	solid	0.0454545454545455	0.178928470470298	1
0.34	solid	0.146464646464646	0.227817919165097	1
0.34	solid	0.247474747474748	0.323496414935893	1
0.34	solid	0.348484848484849	0.345006225709836	1
0.34	solid	0.44949494949495	0.416317946348617	1
0.34	solid	0.550505050505051	0.443186900175443	1
0.34	solid	0.651515151515152	0.526987190393709	1
0.34	solid	0.752525252525253	0.567522311507629	1
0.34	solid	0.853535353535354	0.624768820260257	1
0.34	solid	0.954545454545455	0.678597143069146	1
0.2312	solid	0.0454545454545455	0.162112395870268	2
0.2312	solid	0.146464646464646	0.18791320002851	2
0.2312	solid	0.247474747474748	0.240321691895217	2
0.2312	solid	0.348484848484849	0.252303659972338	2
0.2312	solid	0.44949494949495	0.3031596952169	2
0.2312	solid	0.550505050505051	0.331213500562596	2
0.2312	solid	0.651515151515152	0.359996511712666	2
0.2312	solid	0.752525252525253	0.406709196425422	2
0.2312	solid	0.853535353535354	0.46046494663829	2
0.2312	solid	0.954545454545455	0.49113647049799	2
0.3728	solid	0.0454545454545455	0.295017076148738	3
0.3728	solid	0.146464646464646	0.341532830590667	3
0.3728	solid	0.247474747474748	0.374739499825558	3
0.3728	solid	0.348484848484849	0.43384442641205	3
0.3728	solid	0.44949494949495	0.486839193195651	3
0.3728	solid	0.550505050505051	0.529682349060009	3
0.3728	solid	0.651515151515152	0.604492828455071	3
0.3728	solid	0.752525252525253	0.648314255483179	3
0.3728	solid	0.853535353535354	0.697242166384331	3
0.3728	solid	0.954545454545455	0.735393774249915	3
0.1112	solid	0.0454545454545455	0.143338798757494	4
0.1112	solid	0.146464646464646	0.17839139233438	4
0.1112	solid	0.247474747474748	0.196503830001711	4
0.1112	solid	0.348484848484849	0.197848253071895	4
0.1112	solid	0.44949494949495	0.206774645102438	4
0.1112	solid	0.550505050505051	0.246125108784056	4
0.1112	solid	0.651515151515152	0.221473763246381	4
0.1112	solid	0.752525252525253	0.248793799113157	4
0.1112	solid	0.853535353535354	0.283337644732001	4
0.1112	solid	0.954545454545455	0.282909180192212	4
0.1792	solid	0.0454545454545455	0.109589752772219	5
0.1792	solid	0.146464646464646	0.134687351418875	5
