linetype	x	y	group
solid	0.0454545454545455	0.275684891362441	1
solid	0.146464646464646	0.304054920434549	1
solid	0.247474747474748	0.334615681149031	1
solid	0.348484848484849	0.389710345789378	1
solid	0.44949494949495	0.394058212065284	1
solid	0.550505050505051	0.435840706738284	1
solid	0.651515151515152	0.488667944157633	1
solid	0.752525252525253	0.507568882980214	1
solid	0.853535353535354	0.544512490877563	1
solid	0.954545454545455	0.568799115184705	1
solid	0.0454545454545455	0.190679871569136	2
solid	0.146464646464646	0.223987152513262	2
solid	0.247474747474748	0.249273567767675	2
solid	0.348484848484849	0.290204787956031	2
solid	0.44949494949495	0.328478965587934	2
solid	0.550505050505051	0.390041453324412	2
solid	0.651515151515152	0.433245301058037	2
solid	0.752525252525253	0.466762601862897	2
solid	0.853535353535354	0.481565324950913	2
solid	0.954545454545455	0.543373866579817	2
solid	0.0454545454545455	0.144514859617984	3
solid	0.146464646464646	0.184262844878722	3
solid	0.247474747474748	0.233603527278063	3
solid	0.348484848484849	0.255091131181673	3
solid	0.44949494949495	0.30353631658771	3
solid	0.550505050505051	0.355648660073157	3
solid	0.651515151515152	0.383519663446547	3
solid	0.752525252525253	0.410214785541176	3
solid	0.853535353535354	0.480652592606519	3
solid	0.954545454545455	0.513193547132418	3
solid	0.0454545454545455	0.254848929100839	4
solid	0.146464646464646	0.335630595075422	4
solid	0.247474747474748	0.376860055149583	4
solid	0.348484848484849	0.399355287391151	4
solid	0.44949494949495	0.428379881852838	4
solid	0.550505050505051	0.452584915194519	4
solid	0.651515151515152	0.512260750992739	4
solid	0.752525252525253	0.554299141400133	4
solid	0.853535353535354	0.573148879155908	4
solid	0.954545454545455	0.6014668603683	4
solid	0.0454545454545455	0.31714545718065	5
solid	0.146464646464646	0.361741133572246	5
solid	0.247474747474748	0.400184115720771	5
solid	0.348484848484849	0.428394537922056	5
solid	0.44949494949495	0.489115707393967	5
solid	0.550505050505051	0.547439511961394	5
solid	0.651515151515152	0.587975036811018	5
solid	0.752525252525253	0.644629081221384	5
solid	0.853535353535354	0.681766676020069	5
solid	0.954545454545455	0.752781235260881	5
solid	0.0454545454545455	0.177985724601657	6
solid	0.146464646464646	0.217827147837941	6
solid	0.247474747474748	0.295746039589268	6
solid	0.348484848484849	0.355263551761076	6
solid	0.44949494949495	0.407398976762565	6
solid	0.550505050505051	0.475301619210371	6
solid	0.651515151515152	0.555081359314552	6
solid	0.752525252525253	0.612760708972963	6
solid	0.853535353535354	0.681480964512535	6
solid	0.954545454545455	0.75249122625328	6
solid	0.0454545454545455	0.190662396572389	7
solid	0.146464646464646	0.286275874678847	7
