alpha	x	y	density	level	piece
0.532	0.0454545454545454	0.0454545454545455	0.000243631971046076	1	1
0.6058	0.0546372819100092	0.0454545454545455	0.000285542914523747	1	1
0.6778	0.0638200183654729	0.0454545454545455	0.000325762667676566	1	1
0.7426	0.0730027548209366	0.0454545454545455	0.000361922153059039	1	1
0.7948	0.0821854912764003	0.0454545454545455	0.000391781488836427	1	1
0.8326	0.0913682277318641	0.0454545454545455	0.000413489661644554	1	1
0.856	0.100550964187328	0.0454545454545455	0.000425800686161089	1	1
0.8596	0.109733700642792	0.0454545454545455	0.000428207349019756	1	1
0.847	0.118916437098255	0.0454545454545455	0.000420969770419637	1	1
0.8182	0.128099173553719	0.0454545454545455	0.000405037690775637	1	1
0.7768	0.137281910009183	0.0454545454545455	0.000381886858240836	1	1
0.7264	0.146464646464646	0.0454545454545455	0.000353305485176798	1	1
0.6706	0.15564738292011	0.0454545454545455	0.000321172686936753	1	1
0.6094	0.164830119375574	0.0454545454545455	0.00028726638675213	1	1
0.5482	0.174012855831038	0.0454545454545455	0.000253125726593771	1	1
0.4906	0.183195592286501	0.0454545454545455	0.000219976992595703	1	1
0.4348	0.192378328741965	0.0454545454545455	0.000188717295322559	1	1
0.3844	0.201561065197429	0.0454545454545455	0.000159940407124156	1	1
0.3376	0.210743801652893	0.0454545454545455	0.00013398575028101	1	1
0.2962	0.219926538108356	0.0454545454545455	0.000110993798065825	1	1
0.262	0.22910927456382	0.0454545454545455	9.09568043270217e-05	1	1
0.2314	0.238292011019284	0.0454545454545455	7.37600945350323e-05	1	1
0.2044	0.247474747474747	0.0454545454545455	5.9214002460183e-05	1	1
0.1828	0.256657483930211	0.0454545454545455	4.70789510892524e-05	1	1
0.1666	0.265840220385675	0.0454545454545455	3.70863455943157e-05	1	1
0.1522	0.275022956841139	0.0454545454545455	2.89567972426505e-05	1	1
0.1396	0.284205693296602	0.0454545454545455	2.24158116198796e-05	1	1
0.1306	0.293388429752066	0.0454545454545455	1.72062220782638e-05	1	1
0.1234	0.30257116620753	0.0454545454545455	1.3096588179646e-05	1	1
0.118	0.311753902662994	0.0454545454545455	9.88532421222423e-06	1	1
0.1126	0.320936639118457	0.0454545454545455	7.40107274112691e-06	1	1
0.109	0.330119375573921	0.0454545454545455	5.50041503173429e-06	1	1
0.1072	0.339302112029385	0.0454545454545455	4.06421259578577e-06	1	1
0.1054	0.348484848484848	0.0454545454545455	2.99370543267711e-06	1	1
0.1036	0.357667584940312	0.0454545454545455	2.20709605301257e-06	1	1
0.1036	0.366850321395776	0.0454545454545455	1.63690750372684e-06	1	1
0.1018	0.37603305785124	0.0454545454545455	1.22806032361056e-06	1	1
0.1018	0.385215794306703	0.0454545454545455	9.36431090959085e-07	1	1
0.1018	0.394398530762167	0.0454545454545455	7.2762468415976e-07	1	1
0.1018	0.403581267217631	0.0454545454545455	5.75761557746011e-07	1	1
0.1	0.412764003673095	0.0454545454545455	4.6218884823099e-07	1	1
0.1	0.421946740128558	0.0454545454545455	3.74122111866713e-07	1	1
0.1	0.431129476584022	0.0454545454545455	3.0328739965913e-07	1	1
0.1	0.440312213039486	0.0454545454545455	2.44655816121012e-07	1	1
0.1	0.449494949494949	0.0454545454545455	1.95352313294933e-07	1	1
0.1	0.458677685950413	0.0454545454545455	1.53790376920653e-07	1	1
0.1	0.467860422405877	0.0454545454545455	1.19047680383582e-07	1	1
0.1	0.477043158861341	0.0454545454545455	9.04650030284005e-08	1	1
0.1	0.486225895316804	0.0454545454545455	6.74279528998909e-08	1	1
0.1	0.495408631772268	0.0454545454545455	4.92804842484254e-08	1	1
0.1	0.504591368227732	0.0454545454545455	3.53197539326034e-08	1	1
0.1	0.513774104683196	0.0454545454545455	2.48302982350671e-08	1	1
0.1	0.522956841138659	0.0454545454545455	1.71278160527644e-08	1	1
0.1	0.532139577594123	0.0454545454545455	1.15953728268689e-08	1	1
0.1	0.541322314049587	0.0454545454545455	7.7050874044837e-09	1	1
0.1	0.55050505050505	0.0454545454545455	5.02521333076199e-09	1	1
0.1	0.559687786960514	0.0454545454545455	3.21604307841733e-09	1	1
0.1	0.568870523415978	0.0454545454545455	2.01904064155806e-09	1	1
0.1	0.578053259871442	0.0454545454545455	1.24307180187226e-09	1	1
0.1	0.587235996326905	0.0454545454545455	7.50451482959472e-10	1	1
0.1	0.596418732782369	0.0454545454545455	4.44362209738148e-10	1	1
0.1	0.605601469237833	0.0454545454545455	2.58304210724517e-10	1	1
0.1	0.614784205693297	0.0454545454545455	1.47676416514751e-10	1	1
0.1	0.62396694214876	0.0454545454545455	8.32986425491426e-11	1	1
0.1	0.633149678604224	0.0454545454545455	4.65737519105076e-11	1	1
0.1	0.642332415059688	0.0454545454545455	2.59726054097961e-11	1	1
0.1	0.651515151515151	0.0454545454545455	1.45507303353259e-11	1	1
0.1	0.660697887970615	0.0454545454545455	8.24601375136601e-12	1	1
0.1	0.669880624426079	0.0454545454545455	4.74956971414851e-12	1	1
0.1	0.679063360881543	0.0454545454545455	2.78304615774129e-12	1	1
0.1	0.688246097337006	0.0454545454545455	1.65337222234922e-12	1	1
0.1	0.69742883379247	0.0454545454545455	9.89191595472016e-13	1	1
0.1	0.706611570247934	0.0454545454545455	5.91108770918945e-13	1	1
0.1	0.715794306703397	0.0454545454545455	3.49971372411652e-13	1	1
0.1	0.724977043158861	0.0454545454545455	2.03893070746141e-13	1	1
0.1	0.734159779614325	0.0454545454545455	1.16271173368171e-13	1	1
0.1	0.743342516069789	0.0454545454545455	6.4648894905647e-14	1	1
0.1	0.752525252525252	0.0454545454545455	3.49542313484826e-14	1	1
0.1	0.761707988980716	0.0454545454545455	1.83450096169537e-14	1	1
0.1	0.77089072543618	0.0454545454545455	9.3367457052456e-15	1	1
0.1	0.780073461891644	0.0454545454545455	4.60860017253264e-15	1	1
0.1	0.789256198347107	0.0454545454545455	2.21142866851414e-15	1	1
0.1	0.798438934802571	0.0454545454545455	1.04076019558916e-15	1	1
0.1	0.807621671258035	0.0454545454545455	4.93698941936272e-16	1	1
0.1	0.816804407713498	0.0454545454545455	2.53477900332914e-16	1	1
0.1	0.825987144168962	0.0454545454545455	1.5982619648215e-16	1	1
0.1	0.835169880624426	0.0454545454545455	1.34422376376689e-16	1	1
0.1	0.84435261707989	0.0454545454545455	1.3995783986952e-16	1	1
0.1	0.853535353535354	0.0454545454545455	1.58691695827671e-16	1	1
0.1	0.862718089990817	0.0454545454545455	1.81772414473886e-16	1	1
0.1	0.871900826446281	0.0454545454545455	2.04239706382054e-16	1	1
0.1	0.881083562901745	0.0454545454545455	2.22889791909551e-16	1	1
0.1	0.890266299357209	0.0454545454545455	2.3550663873118e-16	1	1
0.1	0.899449035812672	0.0454545454545455	2.4068373744921e-16	1	1
0.1	0.908631772268136	0.0454545454545455	2.37840424894619e-16	1	1
0.1	0.9178145087236	0.0454545454545455	2.27236274213124e-16	1	1
0.1	0.926997245179063	0.0454545454545455	2.09898583308369e-16	1	1
0.1	0.936179981634527	0.0454545454545455	1.87446394022174e-16	1	1
0.1	0.945362718089991	0.0454545454545455	1.61837484654362e-16	1	1
0.1	0.954545454545455	0.0454545454545455	1.35087509113913e-16	1	1
0.5626	0.0454545454545454	0.0546372819100092	0.00026083797933952	1	1
0.6436	0.0546372819100092	0.0546372819100092	0.000306754401042301	1	1
0.7228	0.0638200183654729	0.0546372819100092	0.000351251588592097	1	1
0.7948	0.0730027548209366	0.0546372819100092	0.000391807451971224	1	1
0.856	0.0821854912764003	0.0546372819100092	0.000426008270476311	1	1
0.901	0.0913682277318641	0.0546372819100092	0.000451823774887446	1	1
0.9298	0.100550964187328	0.0546372819100092	0.000467838781033794	1	1
0.9406	0.109733700642792	0.0546372819100092	0.000473399827992423	1	1
0.9316	0.118916437098255	0.0546372819100092	0.00046865224575538	1	1
0.9064	0.128099173553719	0.0546372819100092	0.000454466062358421	1	1
0.8668	0.137281910009183	0.0546372819100092	0.000432271964932406	1	1
0.8164	0.146464646464646	0.0546372819100092	0.000403845012538806	1	1
0.7588	0.15564738292011	0.0546372819100092	0.000371079888516165	1	1
