fill	x	ymin	ymax	group	colour
#F8766D	0.0454545454545455	0.0895736066655889	0.382670457235677	1	#F8766D
#F8766D	0.136363636363636	0.101932670225402	0.425824694511614	1	#F8766D
#F8766D	0.227272727272727	0.291165558276968	0.617467155052264	1	#F8766D
#F8766D	0.318181818181818	0.15795027589105	0.436112453051663	1	#F8766D
#F8766D	0.409090909090909	0.163676225066627	0.491273894387969	1	#F8766D
#F8766D	0.5	0.165965037336688	0.643443625782724	1	#F8766D
#F8766D	0.590909090909091	0.100365799692467	0.359689707986546	1	#F8766D
#F8766D	0.681818181818182	0.13958342100597	0.410956013871816	1	#F8766D
#F8766D	0.772727272727273	0.253433799512601	0.479483123598399	1	#F8766D
#F8766D	0.863636363636364	0.10413798437427	0.607987042204323	1	#F8766D
#F8766D	0.954545454545454	0.0454545454545455	0.361783255543978	1	#F8766D
#00BFC4	0.0454545454545455	0.40067543542832	0.693772285998408	2	#00BFC4
#00BFC4	0.136363636363636	0.413034498988133	0.736926523274344	2	#00BFC4
#00BFC4	0.227272727272727	0.602267387039699	0.928568983814995	2	#00BFC4
#00BFC4	0.318181818181818	0.469052104653781	0.747214281814394	2	#00BFC4
#00BFC4	0.409090909090909	0.474778053829358	0.8023757231507	2	#00BFC4
#00BFC4	0.5	0.477066866099418	0.954545454545455	2	#00BFC4
#00BFC4	0.590909090909091	0.411467628455197	0.670791536749277	2	#00BFC4
#00BFC4	0.681818181818182	0.450685249768701	0.722057842634547	2	#00BFC4
#00BFC4	0.772727272727273	0.564535628275332	0.79058495236113	2	#00BFC4
#00BFC4	0.863636363636364	0.415239813137	0.919088870967053	2	#00BFC4
#00BFC4	0.954545454545454	0.356556374217276	0.672885084306708	2	#00BFC4
