x	y	label
0.558075040615558	0.434881482610118	1
0.216775555211409	0.25542092491006	2
0.193168747842607	0.288396997723879	3
0.487390112747649	0.309343244387764	4
0.0454545454545455	0.419182666709306	5
0.318738560628063	0.378037322710794	6
0.545642671572637	0.389497628113839	7
0.307749783744802	0.340553587635051	8
0.189307705961281	0.318398847672908	9
0.653745303185397	0.342944936669654	10
0.779616763474208	0.409141158260237	11
0.694621330141185	0.06080563066515	12
0.514323787026863	0.348228946062151	13
0.0918346998066218	0.753240814556609	14
0.680837771187909	0.502657104392095	15
0.106712369083552	0.573277159090536	16
0.335173882380826	0.568846102221354	17
0.335488906331492	0.844026885964471	18
0.614852355696361	0.107871553327796	19
0.554169546948973	0.954545454545454	20
0.622671022290025	0.101103598106369	21
0.418962683051971	0.260181672046694	22
0.16737445736491	0.693707681132602	23
0.954545454545454	0.852532614449128	24
0.0547524920309884	0.743586272144357	25
0.245371991540346	0.210317648738198	26
0.111306527353119	0.44518664500239	27
0.61246078073587	0.268341452705623	28
0.0545683756760912	0.0454545454545454	29
0.689167516818364	0.407010920459878	30
