colour,fill,y,x,density,scaled,count,group,PANEL,ymin,ymax,xmin,xmax
#F8766D,#F8766D,0.0549536128983875,0.0731707317073171,0.176351665737936,0.452105868109164,283.926181838077,1,1,0.0454545454545455,0.0549536128983875,0.0731707317073171,0.0731707317073171
#A3A500,#A3A500,0.0653515256098998,0.0731707317073171,0.0633494858454164,0.0615422725957497,310.792577557613,2,1,0.0549536128983875,0.0653515256098998,0.0731707317073171,0.0731707317073171
#00BF7D,#00BF7D,0.0708124605917806,0.0731707317073171,0.0135099158977905,0.025916141241945,163.226803877105,3,1,0.0653515256098998,0.0708124605917806,0.0731707317073171,0.0731707317073171
#00B0F6,#00B0F6,0.0844944502736548,0.0731707317073171,0.0296536372863443,0.0573357621527942,408.953311815975,4,1,0.0708124605917806,0.0844944502736548,0.0731707317073171,0.0731707317073171
#E76BF3,#E76BF3,0.0937768239862478,0.0731707317073171,0.0128740767364391,0.0287620318116108,277.449227746999,5,1,0.0844944502736548,0.0937768239862478,0.0731707317073171,0.0731707317073171
#F8766D,#F8766D,0.0549547015962955,0.0748412963581691,0.176371877584066,0.452157684428576,283.958722910347,1,1,0.0454545454545455,0.0549547015962955,0.0748412963581691,0.0748412963581691
#A3A500,#A3A500,0.0652913850924819,0.0748412963581691,0.0629764456577147,0.0611798743755536,308.962442396748,2,1,0.0549547015962955,0.0652913850924819,0.0748412963581691,0.0748412963581691
#00BF7D,#00BF7D,0.0707412767700934,0.0748412963581691,0.013482595647246,0.025863732664628,162.896720610027,3,1,0.0652913850924819,0.0707412767700934,0.0748412963581691,0.0748412963581691
#00B0F6,#00B0F6,0.0843938710935165,0.0748412963581691,0.0295899273057288,0.0572125779288806,408.074687473306,4,1,0.0707412767700934,0.0843938710935165,0.0748412963581691,0.0748412963581691
#E76BF3,#E76BF3,0.0936597313888024,0.0748412963581691,0.0128511736506365,0.0287108639262607,276.955643344867,5,1,0.0843938710935165,0.0936597313888024,0.0748412963581691,0.0748412963581691
#F8766D,#F8766D,0.0549398454744441,0.0765118610090211,0.176096071369362,0.451450610823079,283.514674904673,1,1,0.0454545454545455,0.0549398454744441,0.0765118610090211,0.0765118610090211
#A3A500,#A3A500,0.0650918888086356,0.0765118610090211,0.0618515218722092,0.0600870420449811,303.443566305058,2,1,0.0549398454744441,0.0650918888086356,0.0765118610090211,0.0765118610090211
#00BF7D,#00BF7D,0.0705080651608006,0.0765118610090211,0.0133991866316177,0.0257037287203971,161.888972883206,3,1,0.0650918888086356,0.0705080651608006,0.0765118610090211,0.0765118610090211
#00B0F6,#00B0F6,0.084070968252753,0.0765118610090211,0.0293955351663077,0.0568367177481346,405.393825478549,4,1,0.0705080651608006,0.084070968252753,0.0765118610090211,0.0765118610090211
#E76BF3,#E76BF3,0.0932834236478558,0.0765118610090211,0.0127771043657372,0.0285453854090707,275.359376186003,5,1,0.084070968252753,0.0932834236478558,0.0765118610090211,0.0765118610090211
