fill,colour,x,y,PANEL,group,xmin,xmax,ymin,ymax
#51A8EB,#51A8EB,0.0606060606060606,0.0670995670995671,1,1,0.0454545454545455,0.0757575757575758,0.0454545454545454,0.0887445887445887
#51A8EB,#51A8EB,0.0606060606060606,0.0670995670995671,1,1,0.0454545454545455,0.0757575757575758,0.0454545454545454,0.0887445887445887
#4FA4E5,#4FA4E5,0.0909090909090909,0.0670995670995671,1,1,0.0757575757575758,0.106060606060606,0.0454545454545454,0.0887445887445887
#4FA4E5,#4FA4E5,0.0909090909090909,0.0670995670995671,1,1,0.0757575757575758,0.106060606060606,0.0454545454545454,0.0887445887445887
#4FA4E5,#4FA4E5,0.0909090909090909,0.0670995670995671,1,1,0.0757575757575758,0.106060606060606,0.0454545454545454,0.0887445887445887
#4D9FDF,#4D9FDF,0.121212121212121,0.0670995670995671,1,1,0.106060606060606,0.136363636363636,0.0454545454545454,0.0887445887445887
#4D9FDF,#4D9FDF,0.121212121212121,0.0670995670995671,1,1,0.106060606060606,0.136363636363636,0.0454545454545454,0.0887445887445887
#4D9FDF,#4D9FDF,0.121212121212121,0.0670995670995671,1,1,0.106060606060606,0.136363636363636,0.0454545454545454,0.0887445887445887
#4D9FDF,#4D9FDF,0.151515151515152,0.0670995670995671,1,1,0.136363636363636,0.166666666666667,0.0454545454545454,0.0887445887445887
#4B9BD9,#4B9BD9,0.151515151515152,0.0670995670995671,1,1,0.136363636363636,0.166666666666667,0.0454545454545454,0.0887445887445887
#4B9BD9,#4B9BD9,0.151515151515152,0.0670995670995671,1,1,0.136363636363636,0.166666666666667,0.0454545454545454,0.0887445887445887
#4B9BD9,#4B9BD9,0.181818181818182,0.0670995670995671,1,1,0.166666666666667,0.196969696969697,0.0454545454545454,0.0887445887445887
#4B9BD9,#4B9BD9,0.181818181818182,0.0670995670995671,1,1,0.166666666666667,0.196969696969697,0.0454545454545454,0.0887445887445887
#4997D4,#4997D4,0.181818181818182,0.0670995670995671,1,1,0.166666666666667,0.196969696969697,0.0454545454545454,0.0887445887445887
#4793CE,#4793CE,0.212121212121212,0.0670995670995671,1,1,0.196969696969697,0.227272727272727,0.0454545454545454,0.0887445887445887
#4793CE,#4793CE,0.212121212121212,0.0670995670995671,1,1,0.196969696969697,0.227272727272727,0.0454545454545454,0.0887445887445887
#458EC9,#458EC9,0.212121212121212,0.0670995670995671,1,1,0.196969696969697,0.227272727272727,0.0454545454545454,0.0887445887445887
#438AC3,#438AC3,0.242424242424242,0.0670995670995671,1,1,0.227272727272727,0.257575757575758,0.0454545454545454,0.0887445887445887
#438AC3,#438AC3,0.242424242424242,0.0670995670995671,1,1,0.227272727272727,0.257575757575758,0.0454545454545454,0.0887445887445887
#438AC3,#438AC3,0.242424242424242,0.0670995670995671,1,1,0.227272727272727,0.257575757575758,0.0454545454545454,0.0887445887445887
#438AC3,#438AC3,0.272727272727273,0.0670995670995671,1,1,0.257575757575758,0.287878787878788,0.0454545454545454,0.0887445887445887
#438AC3,#438AC3,0.272727272727273,0.0670995670995671,1,1,0.257575757575758,0.287878787878788,0.0454545454545454,0.0887445887445887
#4086BE,#4086BE,0.272727272727273,0.0670995670995671,1,1,0.257575757575758,0.287878787878788,0.0454545454545454,0.0887445887445887
#4086BE,#4086BE,0.303030303030303,0.0670995670995671,1,1,0.287878787878788,0.318181818181818,0.0454545454545454,0.0887445887445887
#4086BE,#4086BE,0.303030303030303,0.0670995670995671,1,1,0.287878787878788,0.318181818181818,0.0454545454545454,0.0887445887445887
#4086BE,#4086BE,0.303030303030303,0.0670995670995671,1,1,0.287878787878788,0.318181818181818,0.0454545454545454,0.0887445887445887
#438AC3,#438AC3,0.333333333333333,0.0670995670995671,1,1,0.318181818181818,0.348484848484849,0.0454545454545454,0.0887445887445887
#458EC9,#458EC9,0.333333333333333,0.0670995670995671,1,1,0.318181818181818,0.348484848484849,0.0454545454545454,0.0887445887445887
#458EC9,#458EC9,0.333333333333333,0.0670995670995671,1,1,0.318181818181818,0.348484848484849,0.0454545454545454,0.0887445887445887
