colour	fill	x	y	clickSelects
#00BFC4	#00BFC4	0.461939588696416	0.391399438258732	Q3
#00BFC4	#00BFC4	0.474857886029448	0.294480459172194	Q3
#00BFC4	#00BFC4	0.435840251187173	0.432287572969636	Q3
#00BFC4	#00BFC4	0.497113322808337	0.345054116073978	Q3
#00BFC4	#00BFC4	0.391454506314473	0.142802922220256	Q3
#00BFC4	#00BFC4	0.510238752103441	0.453350878802368	Q3
#00BFC4	#00BFC4	0.359894122632259	0.369218753003722	Q3
#00BFC4	#00BFC4	0.539918668487331	0.360137088474188	Q3
#00BFC4	#00BFC4	0.482143086678364	0.41233628296017	Q3
#00BFC4	#00BFC4	0.408778398179468	0.290660150051437	Q3
#00BFC4	#00BFC4	0.222353595178578	0.36926954624479	Q3
#00BFC4	#00BFC4	0.501844282523008	0.451921330050562	Q3
#00BFC4	#00BFC4	0.33370576754231	0.411076127323773	Q3
#00BFC4	#00BFC4	0.413322881908148	0.194177271572379	Q3
#00BFC4	#00BFC4	0.515901463274673	0.155774662802076	Q3
#00BFC4	#00BFC4	0.526751630323008	0.458453155460808	Q3
#00BFC4	#00BFC4	0.383052701305999	0.382051473116831	Q3
#00BFC4	#00BFC4	0.543542141453641	0.298109897276248	Q3
#00BFC4	#00BFC4	0.444744328888415	0.438684313460671	Q3
#00BFC4	#00BFC4	0.441136072984785	0.4157615562961	Q3
#00BFC4	#00BFC4	0.525608050233141	0.397776470601038	Q3
#00BFC4	#00BFC4	0.318985990921515	0.251963443714412	Q3
#00BFC4	#00BFC4	0.428526953624045	0.192538471142659	Q3
#00BFC4	#00BFC4	0.113545106684447	0.343404996194401	Q3
#00BFC4	#00BFC4	0.30127714807393	0.332244955480186	Q3
#00BFC4	#00BFC4	0.472283753818357	0.391377729987621	Q3
#00BFC4	#00BFC4	0.477491061816915	0.410199983286194	Q3
#00BFC4	#00BFC4	0.410020266104829	0.29409756783873	Q3
#00BFC4	#00BFC4	0.503915520463624	0.46993599789728	Q3
#00BFC4	#00BFC4	0.540461813812069	0.273707120731807	Q3
#00BFC4	#00BFC4	0.398629565334283	0.468386531987911	Q3
#00BFC4	#00BFC4	0.530242404533704	0.385547774630525	Q3
#00BFC4	#00BFC4	0.420869160738714	0.390412058467543	Q3
#00BFC4	#00BFC4	0.452068243606877	0.434779338886298	Q3
#00BFC4	#00BFC4	0.4407898227409	0.469120534667314	Q3
#00BFC4	#00BFC4	0.485351813000681	0.198712861084664	Q3
#00BFC4	#00BFC4	0.266800760016502	0.342053952744801	Q3
#00BFC4	#00BFC4	0.276938182529357	0.393371643470102	Q3
#00BFC4	#00BFC4	0.506145404686699	0.339333050783213	Q3
#00BFC4	#00BFC4	0.242185212602502	0.305150902094473	Q3
#00BFC4	#00BFC4	0.296613918212387	0.308966140286722	Q3
#00BFC4	#00BFC4	0.50306157935359	0.302796804510479	Q3
#00BFC4	#00BFC4	0.368036844248899	0.3897373424959	Q3
#00BFC4	#00BFC4	0.501668344405725	0.245885687825605	Q3
#00BFC4	#00BFC4	0.426302976124834	0.418289348859039	Q3
#00BFC4	#00BFC4	0.519542703607305	0.355333782972504	Q3
#00BFC4	#00BFC4	0.4970287196731	0.455514315220681	Q3
#00BFC4	#00BFC4	0.357864926241506	0.449284555503119	Q3
#00BFC4	#00BFC4	0.480277100229916	0.0814096909914581	Q3
#00BFC4	#00BFC4	0.272438814579174	0.435248169915361	Q3
#00BFC4	#00BFC4	0.515818617676144	0.240891886270101	Q3
#00BFC4	#00BFC4	0.447682570569211	0.432626132498342	Q3
#00BFC4	#00BFC4	0.177009599635562	0.440706835119431	Q3
#00BFC4	#00BFC4	0.485914994031159	0.360131642318291	Q3
#00BFC4	#00BFC4	0.437647955052351	0.329841284965834	Q3
#00BFC4	#00BFC4	0.507991984658796	0.466022702464797	Q3
#00BFC4	#00BFC4	0.420550570469894	0.322894692925868	Q3
#00BFC4	#00BFC4	0.475332901093811	0.459242987449727	Q3
#00BFC4	#00BFC4	0.490029394348749	0.37372737963816	Q3
#00BFC4	#00BFC4	0.422757773303119	0.229847349425365	Q3
#00BFC4	#00BFC4	0.319937875335409	0.472545183438526	Q3
#00BFC4	#00BFC4	0.50704993404113	0.41599550146929	Q3
#00BFC4	#00BFC4	0.48705349284419	0.430966300983591	Q3
#00BFC4	#00BFC4	0.43049336395262	0.248618115892133	Q3
#00BFC4	#00BFC4	0.481444111778839	0.238228514856354	Q3
#00BFC4	#00BFC4	0.320853020676318	0.471720369532777	Q3
#00BFC4	#00BFC4	0.462943409225607	0.452850439434923	Q3
#00BFC4	#00BFC4	0.466214611630061	0.403127651597628	Q3
#00BFC4	#00BFC4	0.437213473731592	0.41338380233242	Q3
